22662420
/m/05zk3v5
/m/05zk3v5
Wangari Maathai
2006-10-03

2002 1
2004 1
activist 1
after 1
against 1
an 1
and 4
as 1
awarded 1
between 1
by 1
childhood 2
connection 1
conservation 1
culminating 1
discusses 2
education 1
election 1
elections 1
environmental 1
environmentalist 1
followed 1
from 1
good 1
governance 1
her 5
in 3
kanu 1
kenya 1
life 2
maathai 2
moving 1
nobel 2
of 1
on 1
opposition 1
parliament 1
party 1
peace 1
political 1
prize 2
return 1
ruling 1
she 2
shortly 1
states 1
stresses 1
the 8
to 3
united 1
until 1
victory 1
was 1
with 1
