1339254
/m/04tzcg
/m/04tzcg
Brian Jacques
1989
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 24
abbey 6
abbeydwellers 1
about 1
after 5
against 1
aid 1
also 1
an 4
ancient 1
and 30
appear 1
archer 1
are 2
army 2
around 1
arrive 1
as 4
at 2
ate 1
attempt 1
auma 2
axe 1
baby 1
back 1
badger 1
bankvole 1
barricade 1
basement 1
basil 1
battle 1
be 2
been 3
book 1
both 1
brightback 1
brothers 1
build 1
busy 1
but 2
by 7
called 2
capture 3
cavern 1
celebrating 1
cheek 2
children 2
churchmouse 2
cliffs 1
collars 1
come 1
committed 1
company 1
confronts 1
conquer 1
constance 1
convince 1
cornflower 3
courtesy 1
craving 1
creatures 1
crew 1
crime 1
crossing 1
crows 1
cruel 2
cynthia 1
death 1
defeated 1
describes 1
desert 1
destroy 1
destroyed 1
diptail 1
direct 1
discovering 1
doesnt 1
down 3
dress 1
drugged 1
drugging 1
during 3
eight 1
encounter 1
ends 1
ensues 1
enter 1
equinox 1
events 1
exchange 1
fall 1
father 2
feast 2
feasts 1
few 1
fiend 1
fight 2
fighting 1
fights 1
figure 1
finally 1
find 1
first 1
flees 1
food 1
for 5
forage 1
forces 1
fox 2
frees 2
friends 1
from 2
gang 2
gatehouse 1
general 2
generally 1
get 1
ghost 1
godlike 1
gorge 1
great 1
guerrilla 1
guosim 1
had 2
hare 1
has 3
have 2
he 4
hedgehog 1
held 1
help 1
heroes 1
him 2
his 9
hole 1
home 1
horde 2
hostage 1
hunt 1
idea 1
in 3
instantly 1
intends 1
into 1
iron 1
ironbeak 4
is 6
it 1
jabez 1
jess 1
journey 3
jube 2
kidnapped 2
kidnaps 1
kill 2
kills 2
kingdom 3
large 1
later 1
leave 1
led 1
life 1
long 1
magpie 1
magpies 2
maid 1
malkariss 5
manage 1
mangiz 1
many 1
masked 1
massive 1
master 1
matthias 9
mattimeo 3
may 1
meanwhile 2
meet 2
minions 1
missing 1
mossflower 2
most 1
mrs 1
mysterious 1
name 1
named 2
nature 1
necks 1
negotiate 1
never 1
novel 1
of 16
off 2
on 2
one 1
only 1
orlando 2
ottercub 1
own 1
peaceful 1
pelting 1
people 1
pit 1
place 1
planning 1
plunge 1
polecat 1
preparing 1
quest 1
quickbill 1
rat 1
rats 2
ravens 1
reappears 1
redkite 1
redwall 8
refuge 1
remaining 2
repulsive 1
residents 2
return 2
reunited 1
revealed 1
revenge 1
rocks 1
rollo 1
rooks 3
ruled 1
sam 1
scare 1
seasons 1
seer 1
send 1
sequel 1
shaft 1
shrews 1
sister 1
slagar 7
slaver 1
slavers 1
slaves 6
slips 1
sold 1
somewhat 1
son 2
spoiled 1
squirrel 2
stag 1
starting 1
stocked 1
stones 1
strawberries 2
stryk 1
stump 1
succeed 1
summer 1
supplies 1
sword 1
take 2
taking 1
tess 1
that 1
the 43
their 6
them 2
then 5
there 2
they 10
through 1
throughout 1
thrown 1
tim 1
to 18
top 1
trading 1
traps 1
travelers 1
trick 1
two 1
tyrant 1
underground 2
union 1
up 3
upon 1
using 1
villainous 1
vitch 1
walkway 1
way 1
wearet 1
well 1
went 1
were 1
when 2
where 2
which 2
while 2
who 4
with 11
woodland 1
woodlanders 1
worked 1
working 1
young 1
