24677037
/m/080nr3w
/m/080nr3w
Don DeLillo
2010
{"/m/05hgj": "Novel"}
12 1
200 1
2010 1
24 2
3 1
4 1
a 33
about 5
abstract 1
academics 1
accent 1
according 1
accumulated 1
acquaintance 1
action 1
adores 1
advance 1
advisor 1
after 2
against 2
age 1
aging 1
agree 1
alexandra 1
all 2
along 2
already 1
altar 1
alters 1
an 6
analysis 1
and 32
annihilation 2
anonymous 1
appear 1
appearance 1
appears 1
are 9
arrange 1
art 2
article 1
as 9
asked 1
assumes 1
at 2
attempts 1
attended 1
attends 1
autism 2
available 1
away 1
balances 1
behavior 1
behind 1
below 1
better 1
between 1
blind 1
boyfriend 1
brief 1
broken 1
bulk 1
bushera 1
but 5
by 5
called 2
can 1
capitalism 1
case 1
catalog 1
central 1
character 2
chardin 1
civilization 1
clapboard 1
classified 1
clear 1
clinical 1
comic 1
compares 1
complexity 3
concepts 1
conceptual 1
conceptualize 2
concerns 1
connection 1
consciousness 2
conversation 1
counterinsurgency 1
create 1
critics 1
cult 1
dan 1
date 1
daughter 1
day 2
de 1
death 3
deck 1
defect 1
delillo 1
dennis 1
deployments 1
depth 1
described 1
desert 5
detached 1
details 1
determine 1
devastating 1
different 1
direction 1
disappears 1
disassociated 1
disbelief 1
disturbance 1
documenting 1
documents 1
does 1
doesnt 1
down 2
dr 1
dramatically 1
drawn 1
drinking 1
dynamic 1
efforts 1
either 1
elster 16
end 1
ends 1
enough 1
especially 1
estranged 2
event 1
every 1
except 1
exhibit 4
exhibition 2
experience 1
explains 1
explicating 1
explored 1
extinction 1
famous 1
father 1
fesperman 1
fierce 1
film 6
filmmaker 3
find 1
finley 3
following 1
for 7
forlorn 1
form 1
framework 1
from 3
get 1
gets 1
go 1
goes 1
gone 1
government 2
gravity 1
greater 3
grieving 1
had 1
haiku 5
happens 1
has 1
he 10
hearing 1
her 8
high 1
him 3
himself 1
his 11
hopes 1
hour 1
hours 1
house 1
how 1
i 1
idea 4
illusion 1
in 27
including 1
incomprehensible 1
instinct 1
intellectual 2
intelligence 1
intent 1
into 1
involve 1
involves 1
is 19
it 6
its 2
jerry 3
jessie 8
jim 9
joined 1
journal 1
just 1
kind 1
know 1
knowledge 1
leave 1
left 1
lewis 3
life 1
light 1
like 1
line 5
lines 3
lips 1
little 1
losing 1
loss 1
made 2
main 1
make 2
makes 1
man 9
manifestation 1
map 1
maybe 1
meaning 2
meditation 1
medium 1
meet 1
meeting 1
meetings 1
meets 1
men 3
mental 1
metal 1
metaphor 1
middle 1
middleaged 1
mode 1
most 1
mostly 1
mother 1
movement 2
moving 1
mr 1
much 1
murder 1
name 1
named 1
new 1
no 2
not 2
nothing 1
notion 1
novel 5
nowhere 1
number 1
obsessed 1
obsesses 1
obviously 1
october 1
of 30
omega 2
on 8
one 4
onetake 1
only 2
opposite 1
or 4
orders 1
otherworldly 1
out 1
outsider 1
over 1
parallels 1
parsing 2
pastiche 1
people 1
performance 1
phone 1
place 2
planners 1
play 1
point 2
pointed 1
power 1
previous 1
principle 1
process 1
prompted 1
proposes 1
props 1
provenance 1
provide 1
psycho 6
publishers 1
pynchon 2
question 1
quickly 1
rainbow 1
read 1
reading 1
reality 2
recommended 2
references 1
refuses 1
relationship 1
remarked 1
remarks 1
rendition 5
retreats 1
returning 1
reveal 1
revealed 1
review 1
richard 1
room 1
saying 1
scholar 1
scribner 1
search 1
secret 2
see 1
seems 1
seldom 1
selfcontained 2
selfdefining 1
selfrendition 1
sent 1
september 2
serious 2
service 1
seventythree 1
sexually 1
she 3
signifier 1
signs 1
single 1
sit 1
slomo 2
slowed 1
so 2
solace 1
somewhere 1
sort 1
south 1
space 1
stands 1
story 1
strange 1
strangelove 1
street 1
strings 1
structure 1
structured 1
study 1
subjects 1
such 1
swagger 1
symptomatic 2
take 1
takes 2
talk 1
talking 1
teilhard 1
telethons 1
tells 1
temporally 1
tension 1
than 1
that 8
the 67
their 3
then 2
there 4
these 1
they 3
this 3
thomas 1
three 5
thrown 1
time 2
to 29
too 1
took 1
total 1
toward 4
trace 1
tries 1
troop 1
truly 1
trying 1
two 4
understand 1
universe 1
up 1
viewpoint 1
visits 1
voyeur 1
wall 6
wanted 1
wants 1
war 6
was 6
watching 2
we 3
weekly 1
weeks 1
were 1
western 1
what 2
when 1
where 2
who 2
whose 1
why 1
wife 2
will 2
willfully 1
winds 1
with 6
without 2
woman 1
word 3
words 2
work 3
would 1
writer 1
writing 1
wrote 1
years 1
york 1
younger 1
