677885
/m/03254n
/m/03254n
Bret Easton Ellis
1985
{"/m/02xlf": "Fiction"}
180s 1
a 14
abuse 1
accompanies 1
accompanying 1
acquaintances 1
acquisition 1
addict 1
admonishes 1
after 4
afterward 1
alienation 1
alley 1
an 1
and 10
angeles 1
another 2
apathy 1
are 1
around 1
as 2
at 3
attending 1
back 2
be 1
become 1
becomes 1
bedroom 1
been 2
before 2
believing 1
best 1
between 1
blair 2
break 2
but 1
by 1
california 1
can 1
cancer 1
chides 1
clay 12
college 3
coming 1
completely 1
concerned 1
concert 1
consciousness 1
corpse 1
costello 1
dealer 2
debt 1
decides 1
decompose 1
derelict 1
describes 1
disastrous 1
disillusioned 1
down 2
drug 2
drugfueled 1
drugged 1
during 3
dying 1
early 1
elvis 1
embarks 1
encouraging 1
end 1
england 1
events 1
everyone 1
everything 1
excites 1
exgirlfriend 1
exhibit 1
faith 1
feeling 1
film 1
first 1
follows 2
for 4
forced 1
friend 3
friends 3
from 1
girl 2
going 1
grandmother 1
grandparents 1
group 1
has 7
hasnt 1
have 2
he 15
heroin 2
high 1
him 1
his 17
home 1
hometown 1
hours 1
important 1
in 6
insists 1
is 1
isolated 1
job 1
john 1
joke 1
julian 4
keeping 1
latest 1
learns 1
leaves 1
left 1
life 1
looks 1
los 1
lose 1
losing 1
loss 1
male 1
man 1
meditations 1
men 1
model 1
months 1
murder 1
muriel 1
name 1
narration 1
new 1
nights 1
no 1
not 1
nothing 1
novel 1
now 2
of 13
off 2
on 5
one 2
onenightstands 1
only 2
order 1
over 1
parents 1
parties 1
party 3
partygoers 1
partying 2
past 1
pay 1
person 2
picks 1
polaroids 1
progressive 1
progressively 1
prostitution 1
rape 1
reason 1
recent 1
returned 1
returns 1
reuniting 1
revelers 1
revulsion 1
rich 1
rip 4
risk 1
same 1
scene 2
school 1
seemed 1
series 1
several 2
sex 2
sexually 1
she 1
shoots 1
show 1
shows 1
slave 1
snuff 1
so 1
song 1
spent 2
spoken 1
stare 1
stay 1
stream 1
student 1
successful 1
suffering 1
take 1
that 4
the 18
them 2
there 1
they 2
those 1
through 1
time 1
titled 1
to 18
told 1
towards 1
track 1
tracks 1
trent 3
tries 1
turned 1
twelveyearold 1
two 2
ultimately 1
up 1
vacation 2
various 1
victim 1
wants 1
was 1
watch 1
watches 1
weeklong 1
what 1
when 1
where 2
which 4
while 2
who 3
whom 4
winter 2
with 8
witnesses 1
women 1
young 1
youth 1
