2165574
/m/06rqfj
/m/06rqfj
Edward Abbey
1956
{"/m/025txgl": "Western fiction", "/m/02xlf": "Fiction"}
148 1
a 6
across 1
act 1
after 1
air 1
all 1
also 1
an 1
anarchist 1
and 7
any 2
are 1
arrested 1
as 5
attempt 1
authorities 1
awaiting 1
been 1
behind 1
bondi 2
book 1
break 1
brief 1
burns 8
but 2
by 1
can 2
capture 1
card 1
carry 1
comes 1
county 1
cover 1
cowboy 1
cowboys 1
cut 1
deliberately 1
did 1
discovered 1
down 1
draft 3
driver 1
escape 2
escapes 1
eventually 2
federal 2
fence 1
figures 1
for 6
force 1
forest 1
friend 3
from 3
gets 1
goodbye 1
hand 1
happening 1
has 2
have 1
he 4
heads 1
helicopters 1
himself 2
his 3
horseback 1
identification 1
if 1
in 1
including 1
intent 1
is 4
jack 2
jail 2
jailed 1
jerry 1
join 1
kind 1
know 1
law 1
leaving 1
license 1
lives 1
loan 1
manhunt 1
modern 3
mount 1
mountain 1
mountains 1
much 2
nearest 1
never 1
not 1
of 8
old 1
on 5
or 1
other 1
out 2
paul 2
philosophical 1
police 3
position 1
prefers 1
prevent 1
prison 2
pull 1
ranch 1
range 1
refuses 3
refusing 1
register 2
registered 1
rejects 1
reluctantly 1
roaming 1
run 1
say 1
scale 1
security 1
selective 1
sending 1
service 1
seth 1
side 1
so 1
social 1
society 1
son 1
stop 1
stops 1
story 1
such 1
technology 1
that 2
the 17
themselves 1
they 1
this 2
to 12
transient 1
transport 1
trial 1
tried 1
under 1
up 1
violation 1
well 1
when 1
who 2
wife 1
will 1
winds 1
with 1
worker 1
