21330916
/m/05f9zt5
/m/05f9zt5
George MacDonald

a 3
after 1
again 1
and 11
appeared 1
arrows 1
as 3
assumes 1
at 1
aware 1
bad 1
becomes 1
been 1
begins 2
believes 1
book 1
bow 1
boy 1
by 2
castle 1
confesses 1
curdie 8
day 1
descriptions 1
doubt 1
down 2
father 2
follows 1
folly 1
for 2
friend 1
gently 1
go 2
good 1
got 1
grand 2
grandmother 2
greatgreat 1
gwyntystorm 1
he 5
her 4
his 4
home 1
hunt 1
instead 1
irene 4
is 1
it 2
keep 1
last 1
light 1
meet 1
meets 1
miner 1
mother 1
now 1
of 7
old 1
one 3
opposed 1
pigeon 2
pigeons 1
pleasure 1
princess 4
remembers 1
roof 1
seen 1
she 1
shoots 1
shot 1
slowly 1
small 1
soon 1
stayed 1
story 1
tale 1
tells 1
the 10
them 2
then 3
there 1
things 1
thinking 1
to 6
told 3
trusts 1
two 1
use 1
was 2
well 1
while 1
white 1
who 1
whom 1
with 1
withered 1
wrong 1
years 2
