5414598
/m/0dktw3
/m/0dktw3
Justin Richards

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1th 1
2001 1
a 16
about 1
accidentally 1
acidic 1
advantage 1
after 3
allows 1
along 1
already 1
although 1
amnesiac 1
amount 1
an 3
ancient 1
and 12
apart 1
are 1
areas 1
arms 1
army 4
arrives 1
artifacts 1
as 4
assistant 1
at 2
attacked 1
auction 1
back 1
bankrupty 1
become 1
been 2
before 1
befriends 1
believes 1
blue 1
body 3
box 2
break 1
bring 1
building 1
burn 1
burnt 1
but 1
buy 2
by 2
caldera 1
called 1
can 1
case 1
caused 1
causes 1
causing 1
century 1
changes 1
chaos 1
chased 1
claims 1
cold 1
collapsing 1
cools 1
copies 1
corpse 1
create 1
creature 2
creatures 2
crumbles 1
dam 2
death 1
demonstration 1
destroyed 1
died 1
discover 1
dobbs 4
doctor 14
drown 1
due 1
during 1
economy 1
embraces 1
empathic 1
equipment 1
eruption 1
escapes 1
escaping 2
explains 2
explode 1
explodes 1
explosion 1
explosives 1
fascinates 1
featureless 1
find 1
finds 1
fire 1
fired 1
fissure 7
fitz 1
flood 1
for 3
forms 1
freed 1
from 2
full 1
fund 1
gaddis 2
gives 2
going 1
grow 1
guns 3
had 1
has 4
have 1
he 3
heated 1
helping 1
her 3
him 8
his 7
holds 1
horribly 1
house 1
huge 1
in 9
intends 1
into 11
is 10
it 3
its 1
itself 1
killing 1
large 1
late 1
later 2
lava 3
lead 1
leaves 2
leaving 1
life 1
living 1
located 1
lord 3
magma 5
making 1
manor 6
many 1
meeting 1
meets 1
metal 4
middleton 2
mine 5
mines 1
mining 1
molten 2
money 1
moorlands 1
more 1
most 1
move 1
narrowly 1
near 2
nepath 12
new 6
normal 1
not 1
notices 1
of 17
off 1
offers 1
on 2
opened 1
opens 1
ore 1
original 1
out 3
patience 3
personality 1
pick 1
place 1
point 1
pools 1
power 1
powers 1
professor 1
psychical 1
purchase 1
pushes 2
questions 1
really 1
reform 1
release 1
releasing 1
relises 1
remains 2
repairing 1
replaced 1
research 2
resources 1
result 1
resulting 1
returning 1
returns 2
reveals 1
reverend 1
river 1
roger 1
run 1
running 1
sample 1
saving 1
seams 1
self 1
selling 1
shaft 1
shape 1
she 1
sister 2
size 1
society 1
soldiers 1
source 1
start 1
statue 3
still 1
stobbold 1
stone 1
suddenly 1
suggesting 1
take 1
tardis 2
tells 1
that 13
the 71
their 1
them 1
then 2
they 2
tin 2
to 22
town 1
trapped 1
tremors 1
turns 2
unearths 1
up 2
urton 3
urtons 2
uses 1
verge 1
village 2
visitor 1
visits 1
volcanic 1
wait 1
warm 1
water 4
way 1
well 1
when 4
where 3
which 11
whilst 1
who 1
with 6
woman 2
workers 1
young 1
