1742474
/m/05shd2
/m/05shd2
Quentin Fiore
1967

26 1
34effect34 1
34massage34 1
34reading34 1
34scanning34 1
34the 2
a 7
abilities 1
ability 1
about 1
adopted 1
adoption 2
aesthetic 1
age 1
agel 1
all 1
an 4
analogue 1
analytic 1
and 11
anxiety 1
are 5
argues 1
argument 1
as 1
at 1
audiences 1
bard 1
be 2
beginning 1
between 1
beyond 1
book 3
bring 1
brought 2
but 1
by 6
century34 2
change 1
changed 1
changes 1
circle 1
clothing 1
communications 1
compiled 1
completely 1
composing 1
consequences 1
consultant 1
content 1
contribute 1
creative 1
current 1
deceiving 1
demonstrates 1
demonstrating 1
described 1
designer 1
different 1
discovery 2
each 1
economic 1
effect 1
effects 1
enjoyable 1
essence 1
ethical 1
expand 1
experiences 1
extensions 2
extent 1
facing 1
facsimilesreinforcing 1
finally 1
find 1
fiore 2
fixed 1
found 1
from 1
full 1
global 1
graphic 1
graphical 1
ground 1
has 1
have 1
his 1
how 3
however 1
human 2
humanity 1
illustration 1
image 1
impossible 1
in 8
incongruent 1
industrial 1
invention 1
is 7
jerome 1
judgment 1
key 1
leave 1
man 1
marshall 1
massage 3
mcluhan 3
mcluhan3s 1
mcluhans 1
media 8
medium 5
mentality 1
message 1
messages 1
modern 2
moral 1
movies 1
namely 1
near 1
new 2
nineteenth 1
no 1
not 1
of 20
on 5
or 1
our 2
over 1
overarching 1
p 1
page 1
part 1
pattern 1
perceive 1
perception 1
perpetuating 1
personal 1
perspective 1
pervasive 1
photographic 1
physicality 1
playing 1
pleasure 1
points 2
political 1
presented 1
print 1
produces 1
prominent 1
psychological 1
radio 1
reader 1
registersfrom 1
relaxing 1
repeated 1
representation 1
seen 1
senses 1
sensorium 1
set 1
shifting 1
so 1
social 1
society 1
soothing 1
suggesting 1
suspended 1
synopsis 1
technique 2
technologies 1
technology 1
television 1
term 1
textual 1
that 5
the 31
their 1
themselves 1
theory 1
these 3
thesis 1
they 3
this 1
time 1
to 8
tribal 1
twentieth 1
typographic 1
typography 1
unaffected 1
unaltered 1
understanding 1
untouched 1
us 3
utilizing 1
view 1
viewed 1
views 1
village 1
visual 1
was 2
we 1
were 2
wheel 1
which 3
while 1
with 1
without 1
words 1
work 1
world 2
would 2
