10524354
/m/02qgpn8
/m/02qgpn8
Judith Moffett
1987
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
12 1
50 1
600 1
a 30
able 1
abortions 1
about 5
above 1
abusing 1
acquainted 1
acts 1
adamant 2
adjusting 1
adopted 1
after 3
afterwards 1
age 3
agree 1
alice 2
all 1
allow 1
allowed 1
allows 2
alone 1
along 1
already 1
also 2
amateur 1
among 1
an 3
and 36
animals 4
another 4
anthropologist 1
any 1
anyone 1
apparent 1
appears 1
approach 1
approximately 1
are 2
arrived 1
arrives 1
as 13
at 8
back 6
basketball 1
be 4
beat 1
became 5
become 1
becomes 1
been 1
before 1
begins 1
begun 1
behind 1
being 2
believe 1
besides 1
best 2
birth 2
bob 2
born 1
brings 1
but 6
by 7
byron 3
caddie 5
call 1
called 3
came 1
camp 5
capable 2
captain 1
care 2
caused 1
change 1
child 1
classmate 1
clear 1
close 1
closely 1
club 1
coastal 1
colonists 4
colonizing 1
colony 4
come 2
comes 1
comfortable 1
coming 1
competition 1
compound 1
compromised 1
conditions 4
consists 1
contact 1
continue 1
could 4
couple 1
crash 1
crashed 1
credible 1
crew 1
danny 17
day 1
de 1
decided 1
delaware 3
denies 1
describes 1
destroyed 1
destruction 1
develop 1
development 1
did 2
die 1
died 1
difficult 1
difficulty 1
discovered 2
discoveries 1
discussing 1
do 3
does 1
dry 1
dub 1
dubbed 1
due 2
early 1
earth 1
easier 1
easily 1
ecosystem 1
elders 1
emotions 1
encounters 1
enjoying 1
enter 1
especially 1
eventually 3
exhausted 1
exobiologist 1
explain 1
explains 1
exposure 1
facto 1
family 1
famished 1
father 2
felt 1
few 1
finally 1
find 2
findings 1
finds 4
first 2
fits 1
five 3
follow 1
following 1
food 3
foot 1
footprints 1
for 12
form 1
forward 1
found 4
founded 1
freeforall 1
friend 1
friendship 1
from 3
future 1
gave 1
general 1
george 6
get 1
give 1
given 1
gives 1
god 1
goes 2
going 3
grew 1
grow 1
had 1
has 4
have 6
having 1
he 14
head 1
held 1
help 1
her 4
hermaphroditic 1
highly 1
him 6
himself 3
his 10
home 1
hoping 4
however 9
hross 7
hrossa 15
human 3
hump 1
hunger 1
hunt 2
idea 1
if 1
impact 1
improvement 1
in 16
including 2
infertile 1
inhabited 1
initially 3
insufferable 1
integrate 1
intercourse 2
interested 1
into 2
is 10
it 8
its 1
jack 4
joel 4
joined 1
katy 5
keep 2
kid 2
kill 1
kliurrh 2
knocks 1
lakebetweenfalls 3
landed 2
lander 3
language 1
later 1
leader 1
learn 3
learns 1
leave 2
leaves 4
left 1
legitimate 1
let 1
life 1
lifetime 1
limited 1
little 2
machinery 2
maggie 5
make 2
makes 2
making 1
many 4
mature 1
meantime 1
meanwhile 1
meeting 1
meets 1
members 1
message 1
might 2
miles 1
miscarriages 1
missing 1
month 1
more 11
morning 1
most 1
moved 1
much 2
must 4
naked 1
named 2
natives 1
near 1
nearby 1
necessary 1
never 1
new 1
none 1
not 6
notices 1
number 2
occasional 1
occasions 1
of 24
off 2
offered 1
offering 1
often 1
on 8
one 4
only 4
onto 1
option 1
or 2
order 1
original 1
other 1
others 2
otherwise 1
out 3
outside 1
own 2
part 1
peers 1
pennterra 2
permanently 1
permission 2
person 1
physical 1
planet 8
point 2
population 3
portion 1
pregnant 1
presence 1
problem 1
problematic 1
problems 2
progress 1
psychiatrist 1
psychologist 1
puberty 1
put 2
puts 1
putting 1
quaker 4
quakers 8
quinlan 1
quirks 1
readjusting 1
realized 1
realizes 1
regular 1
relabels 1
relocate 1
remain 2
reports 1
representing 1
reproduce 1
request 3
reserves 2
resists 1
response 1
restrictions 1
returning 1
river 2
rock 1
sacrifice 1
sacrificially 1
same 2
saying 2
scarce 1
scared 1
school 1
second 2
see 1
seems 1
separate 1
serious 2
seriously 1
set 1
settlement 2
several 1
sex 4
sexual 2
sexuality 3
she 3
sheep 1
ship 1
should 3
show 1
simply 1
site 1
situation 1
sixer 2
sixers 4
sixertown 2
skeptical 1
skills 1
some 6
someone 1
son 3
soon 9
sources 1
southern 1
species 1
stable 1
start 1
stay 1
stayed 1
stays 1
stories 1
story 1
stranded 1
success 1
sudden 1
suggests 1
survival 1
survive 1
survived 1
swarthmore 4
sympathetic 1
take 3
talks 1
tapped 1
team 6
tell 1
tends 1
term 1
than 2
thanksgiving 1
that 16
the 98
their 14
them 5
themselves 1
then 1
there 3
these 2
they 21
this 6
those 4
threat 4
through 1
thus 1
time 4
times 2
to 45
told 1
tolerant 1
took 1
town 7
transferring 1
transmitted 1
transmitting 1
trigger 1
trip 1
trouble 1
turns 1
tuwukhkawan 1
two 2
typically 1
unclear 1
understand 1
unease 1
up 2
use 1
valley 2
village 2
violate 1
visit 3
walk 1
was 5
water 1
way 1
weak 1
well 1
were 3
when 2
which 4
while 1
who 7
will 1
with 22
women 1
work 3
worship 1
would 2
