11710946
/m/02rprvk
/m/02rprvk
Frances Hardinge
2007-05-04
a 9
accident 1
all 2
aloud 1
also 2
an 3
and 12
announced 1
any 1
are 1
at 1
attempt 1
babbling 1
badly 1
be 1
because 1
becomes 1
been 1
begin 1
berserk 1
blackened 1
bloody 1
bulbs 1
bus 1
but 1
can 1
cause 1
chelle 4
climbs 1
coins 2
competition 1
day 1
death 1
decide 1
determined 1
devices 1
diminish 1
discover 1
each 1
electronic 1
enter 1
explode 1
face 1
fame 1
fare 1
fete 2
find 1
finds 1
for 3
frightened 1
from 1
gargled 1
gets 1
given 1
gives 1
goes 1
grant 3
guess 1
hands 1
hang 1
happen 1
harleydavidson 1
has 4
he 2
hear 1
help 1
her 2
him 2
his 3
home 1
house 1
however 1
in 7
inadvertently 1
increasing 1
injured 1
into 1
is 3
it 1
josh 5
kill 1
learn 1
light 1
lumps 1
machines 1
man 1
metals 1
mime 1
mirror 1
more 1
mother 1
motorcycle 1
name 1
nearby 1
nearly 1
next 1
not 1
now 1
odd 1
of 9
ohe 1
old 1
on 2
other 1
over 1
overhears 1
persuade 1
plan 1
power 2
powers 1
realize 1
results 1
retrieves 1
revenge 1
riot 1
ryan 6
sees 1
service 1
she 4
shockingly 1
should 1
so 1
some 1
someone 1
speaking 1
starts 1
story 1
stranded 1
strange 1
teashop 1
that 5
the 15
their 3
them 3
then 1
they 10
things 1
think 1
thinks 1
thoughts 3
to 9
took 1
tries 1
understands 1
unhappy 1
village 2
vision 1
watery 1
way 1
well 2
when 3
where 1
white 1
who 1
will 2
win 1
winner 1
wish 1
wished 1
wishers 1
wishes 3
wishing 2
witch 2
without 1
words 1
wurthers 1
