8938068
/m/027qfnk
/m/027qfnk
Samuel Youd
1940
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1880 1
a 6
after 1
afterward 1
again 1
alden 1
all 1
almanzo 1
american 1
an 3
and 9
another 1
are 2
around 1
as 4
at 3
attends 1
august 1
barrel 1
be 2
become 1
becomes 1
begin 1
big 1
blizzard 3
blizzards 3
bread 1
bring 2
bringing 1
brown 1
building 2
bushels 1
but 1
cap 1
carrie 1
christmas 3
claim 2
clothes 1
coal 2
coarse 1
coffee 1
comes 2
company 1
containing 1
continue 1
dakota 1
day 1
decides 1
den 2
depends 1
dig 1
dinner 1
early 1
efforts 1
enjoys 1
enough 1
even 1
eventually 1
ever 1
expensive 1
family 3
fears 1
feed 1
few 1
finally 2
food 2
for 4
frequent 1
friend 1
from 6
fuel 2
future 1
garland 1
general 1
getting 1
ground 1
hard 1
has 1
hay 2
he 1
hear 1
heated 1
help 1
her 1
his 2
homestead 1
hot 1
howling 1
husband 1
in 11
ingalls 4
inspecting 1
insulated 1
into 1
keep 1
last 1
laura 4
learns 1
lives 1
long 1
longdelayed 1
made 1
man 1
may 1
meager 1
midoctober 1
miles 1
mill 1
months 3
more 1
move 1
muskrat 1
native 1
ndash 1
nearby 1
next 1
no 1
notes 1
notices 1
of 3
offers 1
old 1
on 3
one 1
or 1
out 2
over 2
pa 4
permit 1
poorly 1
potatoes 1
predicted 1
presents 1
prevent 1
railroad 1
raised 1
receives 1
rest 1
reverend 1
risk 1
rumors 1
running 1
runs 1
scarce 2
school 3
seen 1
settler 1
settlers 1
seven 2
shanty 1
sister 1
sixty 1
slough 1
snowed 1
soon 1
source 1
spring 2
stack 1
starving 1
stock 1
store 2
stranding 1
subsist 1
supplies 1
suspends 1
sweeps 1
territory 1
that 4
thaw 1
the 33
their 5
them 1
there 1
they 2
thickest 1
this 1
through 2
to 16
too 2
town 7
townspeople 1
tracy 1
trains 4
turkey 1
twenty 1
twisted 1
unexpected 1
unpredictable 1
until 2
unusually 1
upcoming 1
upon 1
use 1
wake 1
walk 1
walls 1
warn 1
warning 1
weather 1
weeks 1
wheat 3
white 1
wilder 1
will 2
winter 5
with 3
wood 1
work 1
younger 1
