20403881
/m/04_0vls
/m/04_0vls
Thomas Pynchon
2009-08-04
{"/m/05hgj": "Novel"}
16 1
170 1
a 24
abandoned 2
about 3
acts 1
admitted 1
adrian 4
affair 1
after 4
afterwards 1
again 1
agent 1
agents 1
alive 1
all 1
allegedly 1
allowed 2
along 1
already 1
also 2
amethyst 1
an 6
and 27
angeles 2
apprehended 1
architect 1
are 2
arranges 1
arrest 1
as 6
asks 2
assassin 1
at 3
atone 1
attack 1
authorities 1
awakes 1
back 1
be 2
beaverton 3
because 1
been 7
behind 1
being 2
believes 1
bet 2
between 1
bigfoot 3
bjornsen 1
blackpower 1
bodyguards 1
both 2
bringing 1
but 5
by 7
carried 1
charlock 4
child 1
christian 1
chryskylodon 1
claim 1
claims 2
clinic 1
coast 1
companion 1
company 1
condition 1
contact 1
contacted 1
contends 1
coy 8
crocker 1
current 1
day 1
dead 1
death 2
decide 1
deduces 1
deliberately 1
departed 1
desert 1
destroyed 1
detective 1
development 1
developments 1
did 1
dirty 1
disappearance 2
discovers 2
do 1
doc 30
drug 1
drugs 1
during 2
effectively 1
einar 1
employed 1
encountering 1
encounters 2
end 1
enemies 1
enormous 1
enterprises 1
entrepreneur 1
escapes 1
event 1
evidently 1
fabian 2
fake 1
family 3
fang 5
father 1
fay 1
fazzo 2
fears 1
featured 1
federal 1
female 1
fenway 2
find 2
finds 1
foil 1
for 5
former 2
fortnight 1
from 5
girlfriend 1
given 1
glen 7
golden 5
goods 1
government 1
group 1
groups 1
guard 1
had 3
handcuffed 1
handover 2
harlingen 3
has 9
hatched 1
have 2
having 1
he 7
health 1
hear 1
hearing 1
hears 1
help 1
hepworth 1
her 2
heroin 1
hide 1
him 2
himself 1
his 11
hope 2
housing 2
hq 1
huge 1
immune 1
in 9
indelicato 1
informer 1
informs 1
institute 2
institution 1
intermediate 1
into 1
investigate 2
investigating 1
investigator 1
is 14
it 1
japonica 3
khalil 1
killed 1
kills 1
kismet 1
knocked 1
lapd 2
larry 1
las 1
later 3
law 1
lawyer 1
learns 3
leaving 1
lethal 1
links 1
loan 1
los 2
lounge 1
lover 1
manager 1
manson 1
meets 1
mental 1
mickey 15
mogul 1
money 1
murder 1
musician 1
mysterious 1
named 3
nemesis 1
nightclub 1
no 1
not 1
notorious 1
novel 2
now 1
obligations 1
occasion 1
of 23
old 2
on 4
one 4
only 1
operation 1
order 1
organisation 1
out 1
overdose 1
owes 1
own 1
parents 1
partner 2
payment 1
pays 1
performs 1
permitted 1
persons 1
philanthropic 1
picks 1
place 2
places 1
plan 1
plot 1
policing 1
port 2
pothead 1
previous 1
prison 1
private 1
project 2
provocateur 1
prussia 2
puck 9
pursue 1
quantity 1
questioned 1
realestate 1
receives 2
released 1
reprogrammed 1
return 1
returned 1
reunited 1
reveals 1
riggs 2
rumoured 1
rumours 1
ruthless 1
said 1
sauncho 2
scheme 1
schooner 3
search 1
sees 1
sets 1
setting 1
settlement 1
shark 1
shasta 3
she 1
shifts 1
shot 2
sins 1
site 1
sloane 1
soon 1
spent 1
sportello 1
stayed 1
still 1
stolen 1
subsequently 1
summer 1
supplying 1
surf 1
suspected 1
switch 1
switched 1
sworn 1
taken 1
tariq 2
tearaway 1
tells 1
that 21
the 36
their 2
then 3
they 1
threeway 1
throughout 1
time 2
to 19
together 1
told 1
travels 1
trial 1
trillium 2
unconscious 1
unknown 1
unofficial 1
up 2
upon 2
used 1
using 1
vanished 1
vegas 2
vessel 1
vigilantes 1
vincent 3
visit 3
visited 1
visits 4
wants 1
warbling 2
was 5
watch 1
wave 1
wealthy 1
weapons 1
were 1
where 2
whereabouts 1
which 2
while 1
who 9
whom 1
widow 1
wife 1
will 1
winter 1
with 8
wolfmann 1
work 1
working 2
young 1
