18313128
/m/04cyg7c
/m/04cyg7c
Conn Iggulden
2008-09-01
a 3
after 1
against 1
all 1
ambassadors 1
ancient 2
and 5
another 1
any 1
are 1
arises 1
as 3
become 1
before 1
between 1
built 1
challenges 1
chin 1
choose 1
civilisation 1
come 1
day 1
destroy 1
destruction 1
direction 1
edges 1
either 1
embark 1
embassies 1
enemies 1
face 2
foe 1
for 1
from 2
generals 1
genghis 2
greatest 1
has 2
have 2
he 3
him 1
himself 1
his 4
in 1
india 1
iran 1
iraq 1
is 1
it 1
its 1
journey 1
khan 2
known 1
lead 1
leader 2
long 1
mean 1
mongolians 1
murdered 1
must 3
nation 2
now 2
of 3
on 1
or 1
path 1
people 1
powerful 2
present 1
proved 1
rebuffed 1
sons 1
svbergens 1
the 9
them 2
they 3
those 1
through 1
to 3
tribes 1
trouble 1
united 1
utter 1
victorious 1
victory 1
vktare 1
war 1
warrior 1
west 1
what 1
who 1
will 2
