4888676
/m/0csqr4
/m/0csqr4
Bryce Courtenay
2004
33 1
a 13
about 1
account 1
additional 1
american 2
an 4
and 16
anzac 2
army 1
as 5
at 1
australia 2
back 1
background 1
bar 2
based 1
bass 1
been 1
before 1
being 1
big 1
boss 1
brief 1
brother 1
business 2
camp 1
care 1
characters 1
chequered 1
chinese 1
comrades 1
concludes 1
continents 1
daughter 1
days 1
deals 1
dear 1
defining 1
delve 1
described 1
detail 1
did 1
doctor 1
domineering 1
dramatic 1
during 3
dying 1
eighty 1
encounter 1
english 1
enjoying 1
eventually 1
exfinance 1
exsoldier 1
fallen 1
fallout 1
feature 1
fictional 1
final 1
first 3
fish 1
fisherman 1
fishing 1
following 2
for 1
formative 1
four 1
friend 2
friendship 1
from 1
fundamentally 1
gallipoli 1
girls 1
go 1
going 1
goodbyes 1
have 1
her 1
his 5
hit 1
home 1
hong 1
hotel 1
ideally 1
ii 1
importantly 1
in 10
indomitable 1
infantryman 1
influence 1
inhabiting 1
into 1
is 6
island 3
it 1
jacko 10
james 1
jimmy 5
joining 1
justice 1
key 1
kong 1
korea 4
lads 1
late 1
later 1
latter 1
launceston 2
lenoirjourdan 2
lessons 1
librarian 2
life 2
lives 1
local 2
marry 1
mckenzie 1
meeting 1
meets 1
met 1
migr 1
miss 2
more 1
most 1
native 1
nicole 1
not 1
novel 2
of 16
old 1
oldcorn 1
on 5
once 1
one 2
orphan 1
out 1
own 2
partner 1
past 1
peace 1
pentecost 1
pint 1
place 1
points 1
poverty 1
primarily 1
prisoner 1
queen 3
rebuilding 1
recounting 1
release 2
reminisces 1
return 1
rounds 1
russian 1
sadly 1
say 1
see 1
service 1
set 1
shanghai 1
since 1
soldier 1
son 1
spanning 1
spell 1
spent 1
starting 2
stopover 1
story 4
strait 1
taken 1
takes 1
tasmania 1
that 1
the 26
their 6
they 1
this 1
those 1
though 1
to 9
too 1
town 2
triad 1
turn 1
two 1
ultimately 2
up 1
via 1
war 2
was 2
washerwoman 1
wendy 1
where 1
who 3
with 6
world 1
would 1
years 3
youth 1
