2741847
/m/0808h5
/m/0808h5
D.J. MacHale
2003-05-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
137 1
20th 1
21stcenturies 1
5010 1
a 12
accesses 1
accompanies 1
accompany 1
accomplice 1
aeroplane 2
after 4
again 1
ahead 1
airfield 1
airship 1
all 1
almost 1
an 3
and 20
angst 1
are 1
arrival 1
arrive 1
arrives 1
as 1
at 3
atomic 1
back 2
be 2
become 1
been 1
begins 1
begs 1
bell 1
bellhops 1
better 1
between 1
bobby 19
bomb 1
bug 1
bullet 1
bullets 1
burns 1
but 2
by 3
call 1
called 1
captain 1
car 1
city 1
claiming 1
clearly 1
client 1
cloral 2
computer 1
connection 1
control 1
convinced 1
cop 1
crashing 1
crime 1
critical 1
dane 2
day 1
death 1
departing 1
describing 1
destined 1
destruction 1
developing 1
die 3
died 1
disastrously 1
down 2
dyke 1
earth 13
elderly 1
emotions 2
employed 1
entire 1
entourage 1
explains 1
explosion 1
faces 1
fails 1
farrow 3
female 1
few 1
find 1
fired 1
firework 1
first 7
flown 1
flume 2
follow 1
for 3
foresight 1
friend 1
from 9
full 1
future 1
gangster 5
gangsters 2
gives 1
godfathers 1
gone 1
got 1
grandfather 1
great 1
greeted 1
gun 1
gunny 8
had 1
has 2
have 1
he 8
heading 1
highway 1
him 5
hindenburg 6
hired 1
his 7
holding 1
holds 1
home 1
hotel 2
hours 1
house 1
how 2
in 6
incident 1
industrial 1
intervenes 1
into 4
investigate 1
is 7
its 1
jinx 1
know 1
later 1
launch 1
launches 1
launching 1
lead 2
learns 2
let 1
limousine 1
lives 1
looking 1
lz12 1
man 1
manages 1
manhattan 1
max 7
meet 2
meets 1
misunderstanding 1
motorcycle 1
named 1
nancy 1
nazi 1
nazis 1
nearly 1
never 1
new 1
nickname 1
of 5
old 1
olsen 1
on 9
once 1
only 1
over 2
own 1
parachuting 1
partner 1
party 1
patrick 1
pause 1
pendragon 1
persuaded 1
pilot 1
point 1
predicts 1
press 2
reality 1
receives 1
referring 1
reluctant 1
return 2
returns 1
revealed 2
ring 1
rival 1
rocket 3
role 1
rose 3
saint 2
same 2
save 5
saved 1
second 1
seconds 1
seeking 1
sees 1
shooting 2
shortly 1
significance 1
site 1
spader 10
spies 1
states 1
stop 2
stopped 1
stopping 1
tells 1
territories 1
thanks 1
that 6
the 43
them 4
then 2
there 1
they 2
third 4
this 1
those 1
three 1
ties 1
tilton 1
to 24
tommy 1
tony 1
took 1
tower 1
town 1
tracks 1
tragedy 1
traveler 5
travels 1
tries 2
turning 1
two 1
uncle 2
unconscious 1
understand 1
unknowingly 1
until 2
up 1
upset 1
uses 1
van 1
vincent 1
visit 1
vo 1
war 1
was 2
week 1
when 1
where 1
which 3
while 1
who 5
whole 1
will 2
winn 3
winning 1
with 3
working 1
world 1
would 1
year 1
york 1
young 1
zeppelin 2
