23123026
/m/064qc10
/m/064qc10
Gordon Korman
1987-08
88yearold 1
a 3
air 1
all 1
along 1
an 1
and 4
around 2
arrival 1
as 1
ashley 1
at 2
batteries 1
beautiful 1
becomes 1
blackouts 1
bringing 1
canadian 1
causing 1
cementhead 1
central 1
control 1
core 1
current 1
deceased 1
delancey 1
encounter 1
energy 1
english 1
ensure 1
for 1
frequent 1
gavin 1
generator 1
government 1
grandfather 1
gunhold 1
gutted 1
help 1
his 1
house 1
impersonate 1
in 1
into 1
is 1
it 1
jardine 1
luckiest 1
member 1
model 1
not 1
novel 1
of 2
only 1
or 1
partner 1
plot 1
poet 1
poetry 2
poorly 1
power 2
project 4
refer 1
revolves 2
room 1
sacgen 1
schemes 1
school 3
sean 2
semenski 1
since 1
solar 2
steve 1
storage 1
student 1
students 1
subplot 1
summer 1
supposed 1
that 1
the 14
theamelpos 1
their 2
they 1
third 1
to 4
using 1
various 1
was 1
way 1
who 1
wind 1
windmill 1
works 1
