6463737
/m/0g6bzz
/m/0g6bzz
Jules Verne
1890
03jpgmap 1
1867 1
2001 1
3jpgmap 1
a 3
action 1
adopts 1
afford 1
again 1
alaska 3
alaskan 1
along 1
an 1
and 4
animated 1
arctic 1
are 2
artists 1
as 1
at 1
belleroulotte 1
bering 1
book 1
border 1
bring 1
but 1
by 4
can 1
cannot 1
captured 1
carriage 1
cascabel 3
cascabels 2
central 1
circus 1
clarence 1
count 2
csar 1
dangers 1
daughter 1
decides 1
dont 1
drawn 1
drifts 1
easily 1
end 1
expect 1
fair 1
family 2
father 1
floating 1
france 2
french 1
from 1
fugitive 1
gallery 2
george 2
get 2
girl 1
group 1
happen 1
he 1
help 1
his 2
home 1
horse 1
iceberg 1
imagecsar 2
in 7
including 1
inspired 1
instead 1
islands 1
kayette 2
lyakhovsky 1
manage 1
narkine 2
native 1
natives 1
occur 1
ocean 1
of 5
on 3
ones 1
other 1
overland 1
perm 1
plan 1
political 2
port 1
produced 1
rambler 1
rescue 1
return 1
route 2
roux 2
russia 3
russian 1
sacramento 1
savings 1
see 1
series 1
several 1
ship 1
siberia 1
sitka 1
so 2
spent 1
starts 1
states 2
stolen 1
straits 1
that 2
the 16
their 4
then 1
there 1
they 4
through 4
ticket 1
to 8
touring 1
transfer 1
travel 1
travellers 1
troubles 1
tv 1
unfortunately 1
united 2
up 1
ural 1
via 1
was 1
way 2
who 1
whom 1
with 2
witnesses 1
years 1
