6530744
/m/0g93k_
/m/0g93k_
Elizabeth Moon
1995-08
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/070yc": "Space opera", "/m/02xlf": "Fiction", "/m/01smf2": "Military science fiction"}
a 19
aboard 2
abound 1
about 1
accidentally 1
acquired 1
added 1
admiral 2
adulterated 2
aethar 1
after 2
against 2
aging 1
aiding 1
all 3
along 1
also 2
an 2
anarchic 1
and 32
apprentice 1
are 7
around 1
arranged 1
as 11
assistance 2
assume 1
at 4
aunt 2
authority 1
awaiting 1
awaits 1
away 2
back 1
barbaric 1
battle 1
be 1
because 1
been 3
begins 1
begun 1
being 2
benignity 6
benignityencouraged 1
bequest 1
best 1
betrayal 1
biological 1
black 1
blown 1
bluffs 1
blunt 1
boasts 1
boat 2
books 1
breeding 1
brothers 1
brun 4
build 1
bunny 2
but 1
by 6
captain 1
captained 1
cecelia 8
chance 2
channel 1
claiming 1
clones 5
closeted 1
colony 1
combat 1
coming 1
command 2
commanded 1
compared 1
compassionate 1
complication 1
computer 1
concerned 1
concerns 2
conglomerate 1
continuing 1
control 1
corporate 1
countenance 1
courtmartial 2
created 1
crew 3
crises 1
cruiser 3
cured 1
curing 1
danger 1
de 2
dead 1
decided 1
decides 2
defeating 1
defenders 1
defenses 1
deliberately 1
delight 2
desperate 1
despite 2
destroyed 1
dine 1
disappears 1
disarray 1
discovered 1
dispatched 1
display 1
doubles 1
down 2
drug 1
drugs 2
during 1
dust 1
ease 1
end 1
energy 1
escapes 1
esmay 1
events 1
excellent 1
exchange 1
excuse 1
executed 1
executes 1
expertise 1
facto 1
fallen 1
familias 2
family 4
father 2
felonious 1
ferrying 1
fighters 1
figures 1
finally 1
fleet 9
flush 1
foe 1
following 1
foolish 1
for 6
former 1
fractious 1
fraudulently 1
freed 1
freeing 1
from 2
frontier 2
george 5
get 1
good 1
government 1
group 1
guerini 4
guest 1
had 7
hand 1
handtohand 1
has 7
headquarters 1
held 1
help 3
her 15
heris 10
hidden 1
higher 1
his 3
horses 3
hunting 1
identities 1
ill 1
illegal 1
imbued 1
imprimatur 1
in 16
incapacitated 1
incoming 1
incursions 1
information 1
initiates 1
insufficient 1
intimidate 1
into 4
invading 1
invasion 2
invited 1
is 12
it 1
jig 1
kemtre 1
kick 1
killed 1
kills 1
king 2
known 2
koutsoudas 2
lady 1
law 1
lays 1
learn 1
leaving 1
led 1
legally 1
life 1
lightning 1
livadhi 1
local 1
lord 2
lot 1
lover 1
lowlevel 1
loyalists 1
luck 1
lurking 1
maneuvering 1
manufacture 1
manumitted 1
marktos 1
marriage 1
martial 1
meanwhile 2
mechanical 1
member 2
microjumping 1
minimal 1
monarchy 1
more 1
mutinied 1
named 2
need 1
new 2
next 1
novel 1
now 3
observer 1
of 27
officers 2
on 5
one 1
only 3
opens 1
original 1
ostensibly 1
other 1
out 4
over 2
own 2
parents 1
party 1
patchcock 3
patrol 3
pay 1
plan 1
plausible 1
pleas 1
preparing 1
price 1
prince 1
prisoner 1
problems 1
produced 1
products 1
prominently 1
protect 1
quasielope 1
quickly 1
quietly 1
raffaele 4
raider 1
raise 1
reality 1
really 2
reason 1
recently 2
reconciled 1
refuses 1
regnant 1
reins 1
rejoin 1
rejuvenated 1
rejuvenation 2
relieved 1
remarkable 1
report 1
reports 1
republic 1
request 1
rescue 1
restless 2
result 2
results 1
retrieve 1
reveals 1
revelation 1
rod 1
ron 6
roping 1
run 1
scan 1
school 1
scratch 1
secret 2
senior 1
sense 1
serrano 2
serve 1
she 5
shoddily 1
situated 1
situation 1
sold 1
some 4
somehow 1
sons 1
sorts 1
space 1
special 1
specializes 1
specifically 1
sporting 1
spying 1
still 1
strategically 1
strike 1
succeeds 1
such 2
suiza 1
supply 1
supposedly 1
surviving 2
suspected 1
sweet 2
system 1
tactics 1
take 2
taken 1
takes 1
taking 1
technician 2
terrorists 1
test 1
that 9
the 63
their 6
them 5
there 4
they 7
things 1
third 1
this 2
thornbuckle 1
three 1
through 1
to 24
together 1
too 1
track 1
tracks 1
trailing 1
training 1
traitors 4
travels 1
treatment 1
true 1
trying 1
two 2
under 1
undercover 1
unexpected 1
unfortunately 1
until 2
use 3
using 2
vessel 1
vida 1
visit 1
visits 1
waiting 1
warns 1
was 3
way 1
weapon 1
went 1
were 1
what 1
when 2
where 1
which 5
while 4
whilst 1
who 4
whose 2
will 1
with 7
working 1
world 4
xavier 4
young 2
youngsters 1
youthful 1
