8368284
/m/0270zyl
/m/0270zyl
Muriel Spark
1960-12
{"/m/02xlf": "Fiction"}
a 11
aborted 1
actress 1
affair 1
after 2
also 2
altar 2
an 2
and 11
antics 1
anyone 1
anywhere 1
area 2
arts 1
as 10
association 1
assumed 1
at 2
be 1
bear 1
becomes 1
befriends 1
begins 1
behaviour 1
being 1
belle 1
between 1
bridge 1
but 2
by 3
cannot 1
carries 1
chapter 1
character 1
cheeseman 1
collie 1
commonplace 1
consisting 1
controller 1
corkscrew 1
coverdale 2
crewe 1
culmination 1
despite 1
disruption 1
dixie 4
doubletongued 1
dougal 10
douglas 2
drover 1
druce 3
drunken 1
due 2
during 1
elaine 1
electrician 1
else 1
elsewhere 1
embarks 1
employed 1
employees 1
ends 1
engineer 1
entire 1
everyone 1
exactly 1
experienced 1
eye 1
fact 1
falls 1
fatal 1
fianc 1
final 1
finding 1
flaw 1
for 4
foul 1
frierne 2
from 1
gang 1
gap 1
ghost 1
goes 1
gould 1
grindley 2
happened 1
has 1
having 1
havoc 1
he 6
head 1
her 4
him 1
his 7
human 1
humphrey 6
ill 2
immoral 2
in 10
inaugural 1
indulging 1
industry 1
injury 1
irish 1
is 7
jinny 1
kent 1
kill 1
killing 1
landlady 1
learn 1
leave 1
left 1
lesley 1
listens 1
lodgings 1
lomas 1
mahone 1
manages 1
manipulative 1
manufacturers 2
maria 1
marriage 2
married 1
marry 1
meade 2
meadows 2
meeting 1
merle 2
migrant 1
miss 2
mission 1
mistress 1
months 1
moral 1
more 1
morse 4
moves 1
mr 3
neck 1
nelly 1
no 2
not 1
novel 3
nylon 1
of 17
on 3
one 1
only 1
original 1
out 1
peckham 6
penultimate 1
people 1
place 5
process 1
prosperous 1
pseudonym 1
r 1
recent 1
recognises 1
refrigerator 1
rejection 1
research 1
residence 1
resides 1
result 1
results 1
retired 1
rivals 1
rogue 1
saying 1
scene 1
scottish 1
seen 1
shown 1
shows 1
since 1
singer 1
spark 1
splitting 1
stabbing 2
state 1
stay 1
story 1
stroke 1
target 1
tell 1
telling 1
textile 1
textiles 1
that 2
the 28
their 1
this 1
throughout 3
to 10
transcendence 1
transfiguration 1
trevor 3
tries 1
two 1
typist 1
under 1
unromantic 1
up 1
upon 1
us 1
v 1
vagrant 1
views 1
was 1
we 1
wedding 1
well 3
what 1
where 2
who 3
willis 1
with 8
working 2
works 1
world 1
wreak 1
writer 1
