72018
/m/0jgmp
/m/0jgmp
Alex Garland
1996
11th 1
15 1
18 1
3 1
a 56
able 1
about 4
accepted 1
accepting 1
accompanied 1
across 1
act 1
additional 1
afraid 2
african 1
after 7
again 1
all 1
almost 2
alone 2
along 4
already 2
also 3
although 2
always 1
american 2
americangerman 2
americans 1
amount 1
an 4
and 69
announces 2
any 1
anyone 2
apart 1
appears 1
appreciate 1
are 11
area 1
argument 1
armed 2
arrested 1
arrival 2
arrive 4
arrived 1
arriving 1
as 8
asks 1
assigned 1
at 4
attacked 1
attacks 1
avoiding 1
away 4
back 4
bangkok 1
barely 1
bath 1
be 7
beach 22
beat 1
beaten 1
beautiful 1
because 11
become 1
becomes 3
been 4
before 1
begin 2
begins 1
being 3
believe 1
believes 1
best 1
bewilderment 1
birthday 1
blamed 1
boat 3
bodies 2
both 2
boy 1
breakdown 1
bribing 1
bringing 1
brought 1
bugs 7
building 1
bump 1
bunny 1
burned 1
but 5
buy 1
by 14
called 1
camp 4
campsite 1
carpentry 2
carries 2
carry 1
cassie 2
catches 1
cave 1
caves 1
celebrate 1
celebrating 1
celebrations 1
chance 1
cheap 1
chef 1
chore 1
chosen 1
christo 5
civilization 2
clear 1
clique 1
close 2
closest 1
coconut 1
coincidentally 1
coinciding 1
come 1
comes 2
comments 1
committed 1
community 15
companies 1
completely 1
consisting 1
constant 1
contact 1
content 1
contractor 1
convinces 1
cooked 1
cooking 2
copy 2
corners 1
could 1
country 1
couple 1
daffy 11
daunting 1
day 3
days 3
dead 4
deal 1
death 2
decent 1
decisive 1
dense 1
departure 1
describes 1
detail 10
details 2
developed 1
development 1
died 2
different 1
disaster 1
discovered 3
discovers 4
discreetly 1
disillusioned 1
dmz 1
do 1
does 1
doing 1
doorstep 1
down 2
drew 1
drive 1
duck 2
due 1
dugout 1
during 1
duty 1
dwellers 1
dying 1
early 1
earth 1
elitist 1
ella 1
emergency 1
end 1
endure 1
english 1
englishman 1
enigmatic 1
epilogue 1
escape 4
especially 1
etienne 1
europe 1
euthanized 1
euthanizing 1
even 1
evening 1
event 1
eventually 2
everyone 1
except 1
excuse 1
executed 1
eye 1
face 1
faced 1
falling 1
falls 1
farmers 3
fellow 1
fermented 1
festival 3
few 8
field 1
finally 3
find 5
finds 2
finishes 1
fired 1
first 2
fish 1
fishing 6
five 2
following 1
food 3
for 15
founded 1
founders 2
fourth 1
fractured 1
franoise 8
free 1
french 1
frenzy 1
fresh 1
friends 4
from 7
full 1
funeral 1
fungus 1
further 1
game 1
garden 1
gardening 1
gave 2
german 1
germans 1
get 1
getting 1
given 1
gives 2
go 1
goes 4
going 2
good 1
got 1
gravely 1
gregorio 2
grew 1
group 5
groups 1
guard 1
guarded 1
guardian 1
guards 2
guest 1
gulf 1
gunshots 1
guy 1
had 1
hallucinations 1
handdrawn 1
hardly 1
harmony 1
harvard 1
has 14
have 2
having 3
he 23
head 3
healthy 1
heard 2
hears 2
heated 1
heavily 2
held 1
hence 1
her 3
heroic 1
heroin 1
hidden 1
hierarchy 1
high 2
him 7
himself 2
his 18
history 1
hitch 1
hole 1
home 1
hooked 1
hopes 1
hostel 1
house 1
how 2
however 2
hurdle 1
hurt 1
i 2
idea 1
idyllic 1
if 2
immediately 1
impending 1
important 1
in 35
inaccessible 1
incident 1
incorporate 1
inebriates 1
infected 1
inform 1
information 1
informs 1
infrastructure 1
insane 1
instigates 1
intense 1
into 5
intruders 2
invaders 1
invitation 1
is 23
island 15
it 8
italian 1
its 1
itself 1
jed 13
jeopardize 1
jesse 1
job 2
juice 1
jumping 1
jungle 3
karl 8
keaty 9
keep 2
keeps 1
kept 1
khao 1
kill 1
killed 2
kingdom 1
knowledge 1
knows 1
koh 2
lagoon 2
large 1
largely 2
later 3
leave 1
leaves 2
leaving 1
left 1
life 3
lift 1
like 3
liked 1
likely 1
living 1
local 1
located 1
loner 1
long 1
