699430
/m/033tnx
/m/033tnx
Amy Tan
1989
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
14 1
a 18
abandon 1
abandoned 1
about 5
absolute 1
abused 1
accepted 1
accepting 1
accompanied 1
accomplishments 1
adult 1
adults 1
advantage 1
after 10
agree 1
alive 1
all 2
along 1
also 1
american 1
americanborn 2
an 5
and 34
angry 1
anmei 12
annul 1
approaches 1
are 1
argument 1
around 1
arranged 1
arrived 1
as 4
ask 1
asked 1
assumed 1
at 6
attempted 1
away 1
back 1
baptist 1
be 3
beach 1
become 1
becoming 1
been 2
before 2
begins 1
being 4
beliefs 1
believing 2
bing 1
boss 1
both 2
boyfriend 1
brags 1
breakdown 1
brother 1
but 3
by 6
call 1
called 1
champion 1
chess 2
childhood 3
children 1
china 1
chinese 5
choices 1
church 1
clair 3
club 7
concert 1
concludes 1
concubine 3
conditions 2
conflicts 1
confronts 1
consists 1
continue 1
contrast 1
control 1
controls 1
convincing 1
cook 1
cut 1
daughter 3
daughters 7
days 1
dealing 1
death 1
desire 2
did 1
died 2
dies 1
difficult 1
dinner 2
discovers 1
disinterested 1
divided 1
divorce 1
divorcing 1
does 1
drowned 1
during 2
earns 1
else 1
embarrassing 1
embraces 1
emigrate 1
ended 1
ensure 1
episode 1
eventually 1
expectations 1
explains 1
express 1
expression 1
extremely 1
fabricates 1
facing 1
factory 1
failing 1
faith 2
family 3
father 5
favourable 1
fears 1
feathers 1
featuring 1
fell 1
festival 1
fiance 1
fight 1
final 3
find 2
finds 1
first 6
flee 1
flesh 1
fly 1
focuses 1
focusing 1
follows 2
for 3
forced 3
forth 1
forthcoming 1
fortunecookie 1
found 1
founded 1
four 5
fourth 2
fouryearsold 1
francisco 2
from 3
gave 1
given 1
gives 1
god 1
grandchildren 1
grandmother 4
grant 1
group 1
grow 1
had 2
halfbrother 1
halfsisters 2
happened 1
has 9
he 2
head 1
healing 1
her 60
heritage 1
herself 1
high 1
him 1
home 2
hope 1
hopes 1
household 1
how 14
however 1
hsu 4
humiliated 1
husband 5
idea 1
ii 1
immigrant 1
immigrants 1
immigrated 1
importance 1
important 1
in 19
inferior 1
ingenuity 1
initially 1
insists 1
intends 1
interlocking 1
into 6
introduces 1
is 7
it 1
jade 1
jingmei 18
jong 5
jordan 2
joy 8
knowing 1
known 1
kuomingtong 1
kweilin 1
lady 3
lake 1
late 1
later 2
learned 1
learning 1
learns 2
left 1
lena 4
li 1
life 2
like 1
lindo 6
lived 1
lives 1
lost 2
love 2
loveless 1
luck 8
mah 2
major 1
man 2
manipulates 1
marital 1
marketplace 1
marriage 5
married 1
marry 1
maternal 1
meaning 1
means 1
meet 2
meets 1
merchant 1
met 1
moon 4
more 1
mother 20
motherinlaw 1
mothers 5
much 1
name 1
narrates 1
national 1
needs 1
neighbour 1
nervous 1
never 1
new 2
noisiness 1
not 2
notices 1
novel 4
object 1
of 22
off 1
officer 1
on 3
only 1
opera 1
opinion 1
other 2
out 1
outdoor 1
outing 1
over 1
own 1
papers 1
party 1
pendant 2
pianist 1
piano 1
piece 1
pities 1
place 1
plant 1
play 2
played 1
point 1
poisoned 1
position 1
power 1
pressured 1
pressures 1
problems 1
produce 1
puts 1
quitting 1
raised 1
raped 1
realize 1
realizes 3
realizing 1
recalls 2
recital 1
refuses 1
relate 1
relates 5
relationship 2
relinquishing 1
remarried 1
rescued 1
returned 1
returns 3
reveals 4
revolve 1
rich 4
rights 1
rose 4
rues 1
said 1
san 2
second 3
section 6
sections 3
sense 1
set 1
shamed 1
shape 1
she 17
sign 1
sixteen 1
someone 1
son 1
soup 1
special 1
st 3
states 2
still 3
stories 6
story 9
strained 1
strangers 1
structurally 1
superstitious 1
suyuan 8
take 1
taken 2
talented 1
tell 1
tells 1
than 1
that 12
the 55
their 6
them 1
then 1
they 3
third 1
this 1
though 1
thousand 1
three 1
through 2
to 33
told 1
tried 1
troubling 1
tsing 4
twin 2
two 3
unhappiness 1
united 2
up 2
various 1
viewpoints 1
voice 1
wanders 1
war 1
was 7
waverly 6
what 1
when 4
where 5
which 3
while 1
white 1
who 2
whose 2
wife 2
will 3
winds 1
wish 1
wishes 1
with 6
withdrawn 1
womanizer 1
women 3
woo 2
work 1
worked 1
world 1
worries 1
would 1
wu 4
year 3
yingying 5
youngest 1
