13716080
/m/0cvczf
/m/0cvczf
Dean Koontz
1998
{"/m/06n90": "Science Fiction", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 6
abandoned 1
able 1
about 2
acting 1
actually 1
after 5
all 1
along 1
altered 1
ambush 1
an 2
and 19
answer 1
arrival 1
arrives 1
at 2
away 1
back 4
base 5
be 1
become 1
begin 1
begins 1
behind 1
being 2
best 1
bit 1
bobby 12
body 2
bring 1
bungalow 1
but 2
by 3
call 1
calling 1
calls 2
cat 1
chief 1
child 1
children 1
chris 14
company 1
confiscating 1
console 1
continue 1
coworker 1
critically 1
day 1
demands 1
departs 1
devices 1
dies 1
disappeared 1
disappears 1
dog 2
doogie 1
elevator 2
else 1
encounter 1
encountered 1
end 1
everyone 1
except 1
exgirlfriend 1
explore 1
fear 2
fearing 1
few 3
find 3
follow 1
for 3
fort 2
found 1
friend 1
from 4
frost 1
getting 1
girlfriend 1
give 1
goes 1
goodall 1
guns 1
halloway 1
happening 1
has 1
he 4
head 4
heads 1
hell 1
her 2
him 5
his 7
house 3
in 6
information 1
into 1
is 4
it 2
jenna 1
jimmy 6
join 1
just 1
kidnapper 1
kids 2
later 2
leads 1
leave 2
leaves 2
leaving 1
likes 1
lilly 6
live 1
manuel 3
meets 1
message 1
miles 1
military 1
missing 2
monkeys 2
months 1
motherinlaw 1
mungojerrie 1
nearby 1
next 1
night 1
no 2
noon 1
not 1
nothing 3
now 1
of 6
off 2
old 1
on 3
only 1
or 1
orson 5
other 1
out 3
parents 1
past 2
place 1
police 1
radio 1
ramirez 1
refuge 1
refusing 1
return 2
rhesus 1
ride 1
road 1
rooms 1
roosevelt 1
sasha 3
saved 1
say 1
search 5
sees 1
seize 1
self 1
sends 2
separated 1
shaft 1
shot 1
so 1
son 1
soon 2
starts 1
station 1
stop 2
stops 1
strange 1
swears 1
taken 1
takes 2
tells 1
terms 1
that 2
the 27
their 2
them 6
themselves 1
then 2
they 6
thirty 1
to 23
top 1
tow 1
towards 1
trail 1
trashing 1
uncertain 1
up 2
upon 1
vehicle 1
way 1
wellbeing 1
when 1
where 2
while 2
whose 1
wing 2
with 9
wounded 1
wyvern 2
