17400877
/m/047rr57
/m/047rr57
Dave Wolverton
2007-09
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/03qfd": "High fantasy"}
a 10
accept 1
accepts 1
again 1
all 1
allout 1
ambush 1
an 2
and 11
approximate 1
are 8
areth 2
as 4
at 1
attack 1
battle 2
be 2
because 2
before 1
between 1
born 1
but 2
by 7
caer 1
called 1
can 1
captive 2
carry 1
castle 1
choose 1
combine 2
companions 1
convinces 1
coorm 1
crash 1
creatures 1
daylan 1
daylight 1
deal 1
death 1
defeat 1
died 1
discover 2
do 1
during 1
each 1
earns 1
earth 3
equivalent 2
eternal 3
even 1
except 1
exchange 2
fallion 10
father 1
feet 1
finds 1
followed 1
following 1
for 1
form 1
fortress 1
from 4
gaborn 1
grandfather 1
growing 1
hammer 1
hand 1
happen 1
has 1
have 1
he 3
heal 1
hell 1
her 1
high 2
him 1
himself 1
his 5
hold 2
holds 1
horde 1
host 1
hostage 1
hostages 1
hybrid 1
if 1
immoral 1
impossible 1
in 6
inferno 2
inkharrans 1
inside 1
is 9
it 3
jaz 2
kanhazur 1
keep 1
kill 1
king 5
knight 1
knights 2
led 2
left 1
legendary 1
lightsensitive 1
like 1
linked 1
loci 4
locked 1
lords 1
luciare 1
main 1
make 2
manage 1
melding 1
men 8
mortal 1
mount 1
mystarria 1
named 1
never 1
new 2
of 20
on 3
one 3
only 2
or 1
other 4
parasitic 1
people 2
perform 1
place 1
power 1
present 1
pretend 1
prince 2
princess 2
produce 1
queen 3
race 1
racemdashthe 1
reborn 1
recover 1
rescue 1
respect 1
results 1
returns 1
rumored 1
rune 1
save 1
seal 2
self 1
several 1
shadoath 2
slain 1
slay 1
some 3
spare 1
standing 1
struggle 1
surrounded 1
taken 2
taller 1
than 1
that 4
the 51
their 1
them 2
themselves 1
then 2
there 1
they 4
thing 1
this 6
those 2
though 1
through 1
to 19
together 1
trap 1
tree 1
tries 1
truce 1
true 1
try 1
twisted 1
two 2
undead 1
uneasy 1
unexpected 1
urstone 1
uses 1
version 1
vine 1
vulgnash 2
warrior 1
was 2
weakened 1
well 1
who 3
whose 1
will 1
with 6
world 9
worlds 2
wrong 1
wyrm 1
wyrmling 1
wyrmlings 8
wyrms 1
