5407100
/m/0dkgh1
/m/0dkgh1
David A. McIntee

{"/m/014dfn": "Speculative fiction"}
a 2
ace 2
and 7
been 1
bernice 2
board 1
century 1
colonies 1
death 1
doctor 2
doctors 1
early 2
earth 1
else 1
entirely 1
far 2
first 1
for 1
german 1
getting 1
haiti 1
has 1
have 1
him 1
human 1
in 3
involving 1
is 1
land 1
lands 1
last 1
life 1
millennium 1
murderous 1
not 1
now 1
of 2
on 1
perhaps 1
place 1
plot 1
pretty 1
rejoined 1
scattered 1
simpler 1
something 2
spies 1
stressful 1
successful 1
tardis 2
that 1
the 11
third 1
three 1
time 1
to 1
tropics 1
twentieth 1
violent 1
visits 1
voodoo 1
war 1
world 1
worse 1
yearns 1
years 1
zombies 1
