4235234
/m/0brf20
/m/0brf20
Enid Blyton
1941
14 1
a 6
abominable 2
about 1
accidentally 1
afraid 1
after 1
all 1
allowed 1
also 1
among 1
an 2
and 19
are 12
as 4
at 9
back 1
be 2
because 3
become 1
begin 1
being 1
belinda 1
boxroom 1
bring 1
but 2
by 6
call 1
called 2
cannot 1
captain 1
choice 1
clare 4
class 2
completely 1
considers 1
control 2
dedicated 1
defied 1
despite 2
determined 1
difficult 1
directed 1
discovered 2
dog 3
doris 1
dormitory 1
earlier 1
edwards 1
elite 2
end 1
enjoying 1
equally 1
escapes 1
especially 1
expected 1
expensive 1
fair 1
favourite 1
field 1
find 2
finds 1
finished 1
first 1
for 3
form 5
french 1
frequently 1
friend 2
friends 2
friendship 1
from 1
frustrated 1
furious 1
generously 1
girl 2
girls 5
giving 1
good 2
gregory 1
half 1
has 1
having 2
he 1
head 2
headmistress 1
health 1
help 2
her 5
hide 1
high 1
highly 1
hilary 1
history 1
hockey 1
hot 1
however 2
immediately 1
in 5
insecure 1
irritating 1
is 12
isabel 1
it 3
james 1
janet 1
job 1
johns 1
junior 1
just 1
kathleen 3
keep 1
keeping 1
keeps 1
kennedy 3
kept 1
lacrosse 2
like 1
liked 1
loyal 1
make 2
mamzelle 3
many 1
meet 2
might 1
miss 8
mistakes 1
mistress 2
money 1
most 3
mother 1
move 1
moving 1
naylor 2
needing 1
new 1
nose 1
nurses 1
odds 1
of 9
old 1
on 3
one 1
only 2
other 2
others 1
oullivan 1
out 2
overhear 1
parents 2
pat 1
patricia 1
play 1
played 1
playing 1
possible 1
praise 1
pranks 3
pride 1
punishes 1
pupils 1
qualified 1
quite 2
redroofs 2
refusal 1
reluctant 1
rest 1
ringmere 1
roberts 2
robins 1
school 8
secret 1
secretly 1
selected 1
send 2
senior 1
settled 1
share 1
she 5
sheila 2
sick 1
sincere 1
snobbish 1
so 1
something 1
soon 4
spoilt 1
sports 2
st 4
start 1
stops 1
strict 1
stuck 1
such 1
talking 1
teacher 3
tempered 1
tennis 1
term 2
that 3
the 39
their 10
them 4
theobald 2
they 10
though 1
thus 1
times 1
timid 1
to 15
towers 1
tricks 1
trouble 2
turns 1
twins 15
two 1
under 1
uneasy 1
up 2
uses 1
vera 1
very 3
well 2
wentworth 1
were 1
when 1
where 1
while 2
who 4
whole 1
whom 1
will 1
win 1
winifred 1
with 3
word 1
work 1
wounded 1
