3213886
/m/08zrpv
/m/08zrpv
Douglas Coupland
2006-05-09
a 14
abandon 1
able 1
addition 2
adults 1
adventurous 1
after 1
again 1
all 1
allows 1
an 2
and 8
are 4
arts 1
as 5
asian 1
assigned 1
at 1
autistic 2
avantgarde 1
back 1
based 1
battle 1
be 2
because 1
begin 1
begins 1
boardx 1
bring 1
brother 1
bumps 1
burnabybased 1
by 3
canada 1
career 1
carpet 1
challenged 1
change 1
changed 2
character 4
china 1
company 1
computer 1
connection 1
consistently 1
coupland 2
creating 2
crime 1
crux 1
cubicle 1
culturallysuitable 1
custody 1
date 1
decide 1
decides 1
declares 1
deranged 1
developing 1
develops 1
digital 1
discovers 1
do 1
douglas 2
drastically 1
during 1
dysfunctional 1
enjoy 1
ethan 5
everything 1
executive 1
extra 1
family 1
father 1
fictional 1
finds 1
finish 1
focusing 1
fong 1
for 2
from 1
futile 1
game 7
glitch 1
goes 1
googleversion 1
greg 1
growop 1
grows 1
he 1
heroinaddicted 1
herself 1
himself 2
his 6
how 1
hugging 1
human 2
in 3
incapable 1
including 1
insert 1
inserted 1
inserting 1
into 4
involved 1
involves 1
is 8
itself 1
j 1
jarlewski 1
jeff 2
jpod 5
jpodders 1
just 1
kaitlin 2
kam 1
last 1
lefkowitz 1
letter 1
level 1
life 1
lord 1
machine 1
magic 1
main 1
malevolence 1
management 1
manager 1
manages 1
mandates 1
marijuana 1
market 1
marketing 1
mcdonald 1
members 1
mildly 1
mind 1
missing 1
more 1
most 1
mother 1
movie 1
names 1
narrator 2
neotronic 1
new 1
newest 1
nonliving 1
not 1
novel 3
of 7
on 3
one 1
opinion 1
people 1
please 1
plot 1
pod 1
pressure 1
prince 1
probst 1
realtor 1
relationship 1
renamed 1
replacement 1
required 1
researching 1
resources 1
rides 1
ronald 2
runs 1
sabotage 1
same 1
secret 1
sensation 1
serves 1
she 1
six 1
skateboard 1
skin 1
someone 1
son 1
spends 1
spritequest 2
staff 1
stayathome 1
steve 2
steven 1
successful 1
target 1
task 1
team 1
technology 1
than 1
that 4
the 22
their 4
then 2
they 3
things 1
this 2
through 1
thus 1
time 1
to 13
trying 1
turtle 3
upper 1
upset 1
video 1
visits 1
weave 1
when 2
where 2
which 1
who 4
whose 1
will 1
with 4
work 2
working 1
works 1
world 1
would 1
yet 1
young 1
