5381757
/m/0djb7r
/m/0djb7r
Walter Scott
1828
a 16
about 1
accompanied 1
act 1
afresh 1
afterwards 2
against 3
albany 1
all 2
alternative 1
ambitious 1
an 3
and 42
another 1
apartments 1
apologise 1
apostate 1
apothecary 2
appear 1
appeared 1
apprentice 2
approached 1
approaching 1
armour 1
armourer 5
arms 1
arranged 2
arrest 1
arrival 1
arrived 1
as 5
assassin 1
at 7
attempted 1
attended 1
away 2
battleground 1
be 4
became 1
been 4
before 1
behind 2
being 1
belief 1
betrothed 1
between 1
bierright 1
bleed 1
blow 1
boasts 1
body 1
bonthron 3
border 1
both 1
bravest 1
breathe 1
brokenhearted 1
brother 2
but 3
by 20
cancelled 1
cap 1
captured 1
care 1
carried 1
carry 1
castle 1
catharine 6
cause 1
challenge 1
champion 1
champions 1
chattan 3
chief 1
chieftain 1
chose 1
chosen 1
church 1
citizens 1
city 1
clan 4
clans 1
clement 2
coat 1
combat 4
commission 2
committed 2
commotion 1
communicated 1
conachar 5
conciliated 1
confessed 1
confirm 1
conflict 2
connivance 1
consented 1
consulting 1
convent 1
corpse 1
could 1
council 3
councillor 1
courtiers 1
courtyard 1
culprit 1
custody 1
cut 2
dalliance 1
daughter 3
dawn 1
day 1
dead 1
death 3
defending 1
defiance 1
demand 1
descendants 1
deserted 1
desire 1
determined 1
died 1
discovered 1
disgrace 1
dishonoured 1
dismiss 1
distinguished 1
divulged 1
douglas 4
down 2
duke 2
during 2
dwining 3
each 1
eachin 1
earl 4
effects 1
eight 1
either 1
encountered 1
encouraged 2
english 2
ensued 1
enticed 1
equal 1
errol 1
escape 2
escorting 1
evening 2
eviot 1
excited 2
expiated 1
failed 1
fair 1
fairies 1
falkland 1
fallen 1
fate 2
father 9
favour 1
fell 2
felt 1
feud 1
first 2
fled 1
folded 1
follies 1
followed 1
followers 1
following 1
for 5
force 1
former 1
foster 1
from 6
full 1
funeral 1
garrison 1
general 1
glover 3
gow 7
great 1
grievance 1
guilt 1
had 10
hand 3
hanged 2
has 1
having 11
he 14
headed 1
heard 1
hearing 2
heir 1
held 1
help 1
henry 6
her 10
heresy 1
hermit 1
him 6
himself 1
his 32
home 1
horrified 1
horse 2
hostile 2
house 4
household 1
however 5
iii 1
illgotten 1
in 9
inquiry 1
insisted 1
instigation 1
interrupted 1
intervention 1
intimate 1
into 2
invited 1
issued 2
it 2
james 1
jealousy 1
john 3
kay 1
king 3
ladder 1
last 1
later 1
learnt 2
led 1
left 1
legend 1
light 1
lingered 1
listened 1
lollard 1
louise 2
lover 3
made 1
maid 1
maiden 2
maimed 1
managed 1
many 1
march 1
master 2
meanwhile 1
meeting 1
men 1
merely 1
merry 1
might 1
mistaken 1
monarch 1
morning 1
morricedancers 1
murder 1
murderers 1
named 1
narcotic 1
neighbours 1
news 1
night 1
nineteen 1
now 1
number 1
occupied 1
of 44
off 3
offenders 1
offered 1
old 3
on 9
one 3
or 2
ordeal 1
ordered 1
ordering 1
other 2
overpowered 1
own 1
page 1
party 2
pass 1
person 1
perth 1
place 2
placing 1
pleaded 1
pomp 1
presence 2
prince 6
prior 1
proceeded 1
promised 1
protection 3
proudfute 2
provost 3
pursue 1
quhele 1
ramorny 3
received 1
reformer 1
regency 1
rejoined 1
reminded 1
repaired 1
required 1
resigned 1
rest 1
returned 2
returning 1
revellers 1
revenge 1
rightful 1
robert 1
rothsay 2
roused 1
royal 1
rumour 1
rushed 1
saluted 1
same 1
saw 1
scaffold 1
sceptre 1
scotland 1
scourge 1
screen 1
secret 2
seen 1
seize 2
seized 1
servants 1
settle 1
she 3
should 5
shrovetide 1
simon 3
sir 3
so 1
son 3
sons 1
sought 1
spending 1
spirited 1
spot 1
spouse 1
st 1
starved 1
struck 1
sufferings 1
suggesting 1
suit 2
supply 1
suppression 1
suspected 1
suspended 1
suspicion 1
take 1
teaching 1
terrible 1
that 12
the 100
their 6
then 2
there 1
thither 1
those 1
throne 1
time 1
to 36
torquil 1
town 1
transferred 1
trial 1
uncle 2
under 1
undertook 1
unwounded 1
urged 1
usurper 1
valentine 1
visited 1
volunteered 1
waited 1
warrants 1
was 25
way 2
waylay 1
wealth 1
were 2
when 3
where 1
which 3
while 2
who 13
whom 1
whose 3
widow 1
wife 1
wily 1
window 1
with 10
withdrawal 1
without 1
would 1
wounds 1
years 1
younger 1
