7887818
/m/026hq4_
/m/026hq4_
Andrew Clements
2004
188 1
a 12
about 1
accidentally 1
act 1
actions 1
after 3
age 1
all 1
an 1
and 16
angry 1
ann 2
any 1
apologize 1
appearance 1
archaeology 1
art 1
as 4
astronomy 1
at 2
average 2
badly 1
been 2
before 2
behalf 1
being 2
best 4
better 1
brother 1
but 2
by 4
byrne 2
call 1
campaign 1
card 1
caring 1
carrying 1
cause 1
channel 1
character 1
class 1
classmates 1
commotion 1
concern 1
counselor 1
described 1
describes 1
discuss 1
dislikes 1
do 1
doing 1
dr 2
due 1
during 1
education 1
elementary 2
end 1
english 2
examination 1
explain 2
explains 1
exposes 1
extraordinary 1
face 1
fascinated 1
favorite 2
finally 1
find 1
first 1
follow 1
for 4
forced 2
friend 3
from 2
genius 1
geographic 1
get 1
gets 2
give 1
gives 1
good 1
grades 3
great 1
grounded 1
guidance 1
gym 1
hackney 2
hair 1
has 7
he 2
her 21
herself 4
hiding 1
high 1
higher 1
his 2
hobby 1
however 1
ideas 1
in 7
intelligence 4
intelligent 1
internet 1
involved 1
iq 1
is 9
it 1
kid 1
kind 1
kindergarten 1
knowledgebased 1
lake 1
large 1
latin 1
librarian 2
library 1
long 1
loves 1
low 2
main 1
math 1
mckay 1
mean 1
meeting 2
meets 1
middle 1
more 1
mother 2
mr 1
mrs 6
ms 4
music 1
national 1
never 1
next 1
no 1
nora 18
normal 1
nothing 1
noyes 1
of 6
offer 1
older 2
on 3
one 3
or 1
out 2
over 2
parents 3
pe 2
people 1
philbrook 2
plan 1
played 1
poor 1
prefers 1
prill 1
principal 2
promote 1
prove 1
read 1
rebellion 1
receives 1
reddishblond 1
rejects 1
released 1
researching 2
results 1
role 1
rose 1
rowley 2
said 1
school 10
science 1
score 2
scoring 1
secretive 1
secretly 1
selfconfidence 1
she 15
short 1
shows 1
siblings 1
since 1
sister 1
smart 1
so 2
soccer 1
social 1
soon 1
spanish 1
start 1
starts 1
stay 1
stephen 4
still 2
story 1
struggling 1
students 2
studies 1
subject 1
take 1
talents 1
tantrum 1
taught 1
teacher 6
teachers 1
tell 1
test 1
tests 2
than 2
that 3
the 20
then 1
thing 1
things 2
though 1
thoughtful 1
three 1
throws 1
time 1
to 19
todd 2
too 1
trindler 2
trouble 1
truth 1
trying 1
turn 1
two 1
tyler 1
uncovered 1
understand 1
unintentionally 1
univision 1
unusual 1
unusually 1
upon 1
very 1
was 2
watching 1
when 2
which 1
who 3
whole 1
with 2
young 1
zero 2
zhang 1
