3353389
/m/097b0_
/m/097b0_
Knut Hamsun
1890
{"/m/0xdf": "Autobiography", "/m/017fp": "Biography", "/m/02xlf": "Fiction"}
a 15
absolute 1
an 2
and 8
antagonistic 1
apartment 1
are 1
artistic 1
as 3
asks 1
at 3
basic 1
being 1
blames 1
body 1
book 1
breakfast 1
bring 1
but 1
by 3
cant 1
capital 1
cell 1
children 1
chivalry 1
city 1
close 1
clothes 1
code 1
comes 1
comfort 1
constant 1
crew 1
decline 1
degree 1
despite 1
details 1
difficult 1
divine 1
eating 2
ebb 1
engages 1
episodes 1
essentially 1
even 1
exhibits 1
existence 1
experiences 1
falls 1
fate 1
feelings 1
finally 1
financial 1
finds 1
firstperson 1
food 2
for 2
foreigner 1
four 1
free 1
given 1
giving 1
god 1
has 2
haunted 1
he 14
him 1
himself 2
his 9
homeless 1
however 1
hunger 1
in 10
increasingly 1
intellectual 1
intimacy 1
into 1
irrational 1
is 1
journalist 1
keys 1
lack 1
late 1
leanings 1
leaving 1
less 1
life 1
lost 1
major 1
making 1
meals 1
meets 1
mental 1
mild 1
money 1
more 1
morning 1
most 1
mysterious 1
nearly 1
needy 1
nervousness 1
newspaper 1
night 1
no 1
norway 1
not 2
notable 1
nourishment 1
novel 1
number 1
ociety 1
of 8
on 2
one 1
or 2
order 2
over 1
overwhelmed 1
own 2
partake 1
pencil 1
persons 1
physical 2
point 2
posing 1
poverty 1
precious 1
prison 1
probably 1
protagonist 1
provide 1
pursuit 1
rather 2
remains 1
reveal 1
ruin 1
scrounges 1
selfcreated 1
selfdestructive 1
sells 1
ship 1
signs 1
slowly 1
social 1
spend 1
state 1
stealing 1
story 1
streets 1
succumb 1
such 1
text 1
the 11
they 1
this 2
thus 1
to 12
towards 1
traps 1
triumph 1
turning 1
turns 1
twenties 1
unnamed 1
vagrant 1
vagrants 1
vows 1
wanders 1
warmth 1
welltodo 1
when 2
who 1
whom 1
with 3
woman 1
world 1
writing 1
ylajali 1
young 1
