2089819
/m/06lg3n
/m/06lg3n
Stephen Baxter
2005-03-29
2037 2
2042 1
8 1
a 5
about 1
advanced 1
after 1
aged 1
alien 2
all 2
allow 1
alternate 1
ambitious 1
an 3
and 6
are 2
as 5
astronauts 1
astronomer 1
be 3
believe 1
bisesa 2
body 1
burst 1
but 1
by 4
chapter 2
civilization 1
clear 2
completely 1
complicated 1
confirmation 1
daughter 1
day 1
death 1
decide 1
destroy 1
determined 1
disorderly 1
disrupting 1
down 1
dramatic 1
dutt 1
earth 5
effects 2
electronic 1
embark 1
endanger 1
energy 1
entropy 1
eruption 1
eurasian 1
even 1
event 2
events 1
eventual 2
eventually 1
existence 1
eye 1
fact 1
far 1
first 1
firstborn 1
five 3
form 1
from 3
frontier 1
further 1
grec 1
happening 2
hardware 1
has 1
hastening 1
heat 1
helicopter 1
her 4
in 7
increasing 1
infiltrating 1
information 1
initial 1
intelligence 1
is 8
it 3
its 2
june 3
just 1
known 1
last 1
leaders 2
led 1
life 2
literally 1
london 1
major 1
make 1
makes 1
mankind 2
mars 1
massive 1
mcgorran 1
meantime 1
memories 1
minor 1
mir 1
miriam 1
models 1
more 1
most 2
motion 1
nature 1
north 1
not 1
notably 1
now 1
occurs 1
odyssey 1
of 10
off 1
on 3
only 2
opens 1
pakistan 1
phenomenon 1
plan 1
plot 1
political 1
powerful 1
precursor 1
president 1
projected 1
province 1
race 1
random 1
rather 2
reach 1
result 1
reunited 1
royal 1
scientific 2
sentience 1
serve 1
set 1
she 1
shield 1
shot 1
simply 1
since 3
siobhan 1
sit 1
so 1
solar 3
some 1
spent 1
stars 1
sterilized 1
stop 1
storm 1
story 1
sun 2
sunstorm 1
than 1
that 4
the 26
they 3
this 1
though 1
thus 2
time 1
to 8
union 1
universe 2
upcoming 1
upon 1
usage 1
virtually 1
wars 1
was 1
wasteful 1
were 1
western 1
what 1
when 1
will 3
with 3
worst 1
years 3
