8520267
/m/0276dc9
/m/0276dc9
Ellen Hopkins
2004
{"/m/03mfnf": "Young adult literature"}
a 14
abandons 1
abortion 1
about 3
actually 1
adam 5
adams 1
addicted 1
addiction 1
after 5
afterwards 1
albuquerque 1
all 1
also 1
although 2
amount 1
an 3
and 20
another 1
antagonist 2
anything 1
are 2
as 2
asking 1
at 4
attacked 1
attempt 1
avenue 2
away 2
baby 3
back 1
balcony 1
because 2
become 2
becomes 1
becoming 1
before 3
begin 2
begins 1
being 1
believes 1
belly 1
birth 1
both 2
boy 1
bree 1
brendan 7
but 5
by 3
calling 1
calls 1
can 1
card 1
caught 1
causing 1
character 2
characters 1
chase 7
child 1
choosing 1
claiming 1
classes 1
closer 1
clothes 2
come 1
comes 1
comforting 1
connection 1
continues 2
convinces 1
cop 1
could 1
couple 1
crank 7
dating 1
days 1
dealer 1
dealing 1
decides 3
deciding 1
decision 1
described 1
describes 1
direct 1
discovering 1
does 2
doubted 1
drives 1
drug 2
druggie 1
drugs 3
during 2
end 1
ends 1
even 3
exchange 1
exclusively 1
father 5
feared 1
feeling 1
feels 1
first 1
flutter 1
following 1
for 4
friends 1
from 3
get 2
gets 2
getting 2
girlfriend 1
give 1
giving 1
go 1
goes 3
going 2
guilty 1
had 4
hall 2
hands 1
happen 1
has 3
have 2
having 2
he 5
healed 1
healthy 1
her 31
herself 1
high 5
him 5
hitchhiking 1
home 2
honor 1
house 1
however 1
if 1
illegal 1
implying 1
in 8
inmate 1
instantly 1
into 1
irritable 1
is 16
it 1
jumps 1
junior 1
just 1
juvenile 2
keep 1
kristina 24
lab 1
large 1
later 1
leads 1
letter 2
lince 2
makes 1
making 2
meets 2
men 1
meth 1
methamphetamine 1
mexico 1
mom 1
moms 1
monster 1
more 5
mother 1
mothers 1
moving 1
narcotic 1
narrative 1
nevada 1
new 1
no 2
not 3
novel 5
now 3
numbers 1
of 8
off 3
often 1
on 3
once 1
one 1
or 1
out 2
over 3
parenthood 2
parents 1
part 1
pay 2
persuade 1
place 1
planned 1
point 1
popular 1
pregnancy 2
pregnant 1
promise 1
protagonist 1
put 1
rape 2
raped 4
realizes 1
relationship 2
released 1
reno 2
reveal 1
ripping 1
roll 1
runs 1
saved 1
says 2
school 1
see 1
sees 1
sex 3
shaken 1
she 27
should 2
showing 1
shut 1
so 2
soon 2
spending 1
spends 1
starts 3
staying 1
stepfather 1
still 2
stop 1
story 1
straighta 1
strained 1
struggle 1
student 1
suicide 1
summer 1
supply 1
symptoms 1
take 1
takes 4
telling 1
tells 2
that 3
the 30
them 1
then 1
they 4
this 5
though 3
three 3
through 3
time 3
to 28
together 1
tries 1
try 1
trying 2
uncertainty 1
until 1
up 5
uses 1
using 1
very 1
violent 1
virginity 1
visa 1
visit 1
wait 1
waited 1
wanting 1
was 1
waterpark 1
weeks 4
when 2
where 4
which 1
while 1
who 1
with 11
withdrawal 1
woods 1
writes 1
year 1
