12200712
/m/02vvm7d
/m/02vvm7d
Lawrence Durrell

34dighenis 1
34embedded 1
34feast 1
34heavily 1
34the 1
a 2
accepted 1
account 1
adventure 1
adviser 1
affairs34 1
affection34 1
airport34 1
alternately 1
an 3
and 13
approaching 1
armed 1
as 5
at 2
befriended 1
bellapais 1
bellapaix 1
big 1
book 1
british 4
brother 1
but 2
by 2
came 1
chaos 1
character 2
charting 2
comic 2
compost 1
conversation 1
cypriot 2
cyprus 3
cyprus3 1
deeply 1
delight 1
demanding 1
demons 1
door 1
dote 1
dotes 1
dragged 1
dragging 1
driver 1
drowning 1
during 1
durrell 8
electra 1
emerged 1
enamoured 1
end 1
ends 1
english 1
enosis 1
essay 1
even 1
eventually 1
evoke 1
experiences 1
failed 1
favourite 1
fell 1
felt 1
female 1
fights 1
first 1
fleeing 1
floundered 1
fortune 1
freedom 1
friends 1
from 1
gerald 1
glad 1
go 1
goodbye 1
governor 1
greece 2
groups 1
guarded 1
gymnasium 1
hate 1
hatreds 1
have 2
he 5
her 1
him 5
his 4
historical 2
housebuying 1
how 1
however 2
i 4
illluck 1
in 6
include 1
into 2
invited 1
is 6
island 3
job 1
killing 1
life 1
like 2
love 2
loves 1
me 2
medieval 1
men34 1
met 1
militants 1
moment 1
moments 1
mother 1
movement 1
muddy 1
my 1
name 1
naturalist 1
never 1
no 1
northern 1
not 1
now 1
of 11
old 1
on 3
one 1
paix 1
pancyprian 1
part 1
people 1
pleasure 1
plunged 1
press 1
progress 1
purposely 1
real 1
really 1
regret 1
religious 1
reportedly 1
reunion 1
rule 2
saying 1
see 1
serious 1
settled 1
several 1
so 1
something 1
spelt 1
stay 1
stockmarket 1
stream 1
students 1
successful 1
taxi 1
teacher 1
tells 1
that 2
the 26
them 1
themwith 1
there 1
they 1
this 1
though 1
to 8
turkishcontrolled 1
undifferentiated 1
union 1
unreason34 1
vagaries 1
very 1
village 1
villagers 1
violence 1
visits 1
was 1
well 1
were 1
when 1
where 1
which 2
who 1
will 1
with 8
without 1
worked 1
world 1
write 1
writer 1
