917616
/m/03prtc
/m/03prtc
Virginia Woolf
1928-10-11
128 1
a 21
abandoned 1
adopting 1
advantages 1
affair 2
after 2
aftermath 1
again 1
against 1
alexander 1
all 1
ambassador 1
an 1
ancestral 1
and 14
ankle 1
appears 1
appointed 1
appreciate 1
archduchess 2
archduke 1
as 5
asleep 1
awakening 1
back 2
background 1
be 2
becomes 1
becoming 1
best 1
betrayed 1
between 1
body 1
bonthrop 1
born 1
both 1
brief 1
briefly 1
british 1
but 3
by 2
captain 1
caught 1
centuries 2
charles 1
civil 1
clan 1
clothes 1
company 1
concludes 1
conflict 1
constantinople 2
constraining 1
contemplating 1
country 1
court 1
covertly 1
criticises 1
days 1
death 2
decides 1
declaring 1
departure 1
desolate 1
does 1
dressing 1
during 1
duties 1
efforts 1
eighteenth 1
elderly 1
elizabeth 1
embassy 1
england 3
ennui 1
entertains 1
entourage 1
episode 1
escapes 1
essential 1
evades 1
excitement 1
fact 1
falling 1
falls 1
famous 1
feel 1
female 1
finds 2
flash 1
fleeing 1
following 1
foolishlydepicted 1
for 1
frost 1
furnish 1
gender 1
god 1
great 2
greene 3
greet 1
grow 1
gypsy 1
harassment 1
harriet 1
harry 1
has 2
he 8
head 1
heartbroken 1
help 1
her 10
herself 1
him 2
himself 1
his 5
holding 1
home 2
host 1
hounded 1
husband 1
i 1
ii 1
im 1
in 14
incident 1
including 1
instead 1
intellect 1
intense 1
into 1
is 4
it 1
its 1
joyfully 1
king 1
known 1
lady 1
later 1
lavishly 1
lawsuit 1
leads 3
lengthy 1
life 4
living 1
love 3
lover 1
made 1
magnitude 1
making 1
man 3
marmaduke 1
marriage 1
marries 1
meets 1
metamorphosed 1
murderous 1
named 1
nearly 1
nicholas 1
nick 1
night 1
nineteenth 1
not 1
notably 1
now 3
oak 3
of 19
old 1
on 1
once 1
one 2
only 1
orlando 13
over 1
overall 1
performs 1
period 2
persistent 1
person 1
personality 1
plays 1
poem 1
poet 1
poets 1
pope 1
populace 1
praise 1
princess 1
prize 1
proceeds 1
promising 1
promoting 1
property 1
proposals 1
publish 1
publishes 1
queen 1
realise 1
reign 1
represent 1
resistant 1
results 1
return 1
returns 2
reveals 1
riots 1
roles 1
rouse 1
rushes 1
russia 1
russian 1
sackvillewest 1
said 1
sailor 1
same 2
sasha 2
sea 1
sets 1
she 5
shelmerdine 1
ship 2
soon 1
started 1
starting 1
stately 1
story 1
subject 1
subsequent 1
success 1
sudden 1
suitor 1
switching 1
tells 1
that 1
the 30
their 1
then 1
this 2
timeless 1
to 19
tree 3
trefusis 1
turkey 1
unrest 1
unsurprised 1
until 2
unwarned 1
up 1
upbringing 1
upon 1
value 1
violet 1
vita 1
way 1
well 1
when 2
which 2
while 1
who 4
whom 1
winning 1
wins 1
with 8
woman 4
womanthe 1
works 1
writing 3
yet 1
young 1
youth 1
