328965
/m/01wl7b
/m/01wl7b
Wilmar H. Shiras

{"/m/06n90": "Science Fiction"}
153 1
172 1
a 5
abilities 2
adjustments 1
adults 1
after 1
age 1
all 5
america 1
an 4
and 11
approximately 1
are 3
articles 1
as 2
astounding 1
at 2
atomic 1
be 1
betterknown 1
birth 1
blast 1
book 2
born 1
brought 1
but 1
by 1
carefully 1
caught 1
causes 1
characters 1
children 6
combined 1
continue 1
countless 1
courses 1
delayed 1
described 1
devour 1
difference 1
disguise 1
done 1
effects 1
energy 1
enforce 1
every 1
exclusive 1
explore 1
explosion 1
extension 1
facility 1
feared 1
few 1
fiction 1
figuratively 1
for 1
form 1
from 3
future 1
genius 1
gifted 2
given 1
group 1
hated 1
hidden 1
hiding 1
in 9
incredible 2
incredibly 1
inquisitiveness 1
intellect 1
intelligent 2
invevitable 1
is 1
it 1
just 1
know 1
less 1
lest 1
libraries 1
like 1
local 1
magazine 1
mailorder 1
majority 1
maladjustments 1
mdash 1
mediocrity 1
minority 1
months 1
much 1
mutants 1
none 1
not 2
novel 1
oakland 1
of 6
on 1
or 1
originally 1
orphaned 1
over 1
paranormal 1
parents 1
pennames 1
powers 1
precognitiontheir 1
prejudicial 1
preternaturally 1
primary 1
protect 1
publish 1
published 1
same 1
school 1
science 1
secret 1
serial 1
series 1
shiras 1
simply 1
speed 1
stereotypes 1
stories 1
study 1
succumbed 1
such 1
super 1
telekinesis 1
that 4
the 10
their 5
them 4
these 2
they 2
through 2
throughout 1
to 9
together 1
tribune 1
try 1
understand 2
unique 1
university 1
was 1
weapons 1
were 1
when 1
which 1
will 1
with 1
workers 1
world 3
would 1
xmen 1
youth 1
