3396079
/m/099chw
/m/099chw
Robert Coover

{"/m/02xlf": "Fiction"}
a 6
accountant 1
action 1
affects 1
after 2
again 1
albeit 1
alltime 1
also 1
an 2
and 3
arrives 1
as 4
at 1
baseball 1
beanball 1
boy 1
by 2
can 1
chart 1
choosing 1
comes 1
completes 1
conclusion 1
control 1
creation 1
damon 1
death 1
dice 1
each 1
every 2
excitement 1
extraordinary 1
fate 1
fiftysix 2
finally 1
flush 1
from 2
game 5
games 1
giddy 1
greats 1
happiness 1
has 2
have 1
he 4
henry 10
himself 2
his 5
home 1
however 1
hurler 1
immerses 1
in 8
invented 1
is 6
it 1
j 1
killed 1
league 5
life 3
lights 1
limits 1
marks 1
miracle 1
night 1
novel 1
occurrences 1
of 8
on 1
one 2
opens 1
out 1
owner 1
perfect 1
personal 1
pitch 1
pitcher 1
pitching 1
play 1
plays 1
point 1
pride 1
progress 1
pushes 1
rare 2
rarest 1
reallife 1
rookie 2
ruled 1
rutherford 2
sanity 1
save 1
seasons 1
see 2
so 1
solution 1
son 1
spirals 1
tabletop 1
team 1
that 4
the 18
this 1
to 3
turning 1
ultimately 1
unhappy 1
unimaginable 1
up 1
used 1
waugh 1
ways 1
when 1
which 1
who 1
will 1
with 3
work 1
world 1
would 1
young 4
