6231400
/m/0fx_q3
/m/0fx_q3
Françoise Sagan
1965
{"/m/05hgj": "Novel"}
a 6
affair 1
affection 1
an 1
and 1
are 1
as 1
ask 1
be 2
because 1
but 2
by 1
cannot 1
change 1
class 1
couple 1
deciding 1
differences 1
doesnt 1
existence 1
feels 1
focus 1
for 2
get 1
her 5
his 3
in 2
is 3
leaves 1
life 1
like 1
lost 1
love 3
lover 2
loves 1
man 2
many 1
means 1
meet 1
merely 1
metaphor 1
move 1
novels 1
object 1
of 6
one 1
ostensibly 1
position 1
quality 1
rather 1
rejecting 1
return 1
sagan 1
selfish 1
she 5
society 1
stifled 1
story 1
than 1
the 6
this 1
to 6
together 1
used 1
wants 1
who 3
with 4
woman 2
workingclass 1
