27932573
/m/0ch2b32
/m/0ch2b32


{"/m/01hmnh": "Fantasy"}
a 4
abroad 1
after 2
all 1
allowing 1
and 2
ankhmorpork 1
are 2
arrest 1
as 1
at 1
been 1
by 2
called 1
caves 1
cheaply 1
cigars 1
citizens 1
commander 1
community 1
considers 1
constable 1
crime 1
crundells 1
dark 1
discovers 1
end 1
enjoying 1
enslaving 1
family 1
finds 1
flees 1
for 1
force 1
forced 1
goblins 3
has 2
having 1
he 1
her 1
him 2
his 4
howondaland 1
humanoid 1
in 3
is 1
lady 1
lifeforms 1
live 1
local 1
lord 1
major 1
man 1
manages 1
mansion 1
manufacture 1
nations 1
nearby 1
of 3
on 1
organizational 1
out 1
past 1
persuasion 1
plantations 1
powers 1
recognized 1
removed 1
resident 1
responsible 1
rulers 1
rural 1
rust 2
sam 2
short 1
skills 1
smuggled 1
son 3
sybil 1
take 1
teaming 1
thanks 1
that 4
the 6
their 1
them 1
then 1
those 1
time 1
to 7
tobacco 1
up 1
upshot 1
vacation 2
vetinari 1
vimes 3
while 1
wife 2
with 3
work 1
young 2
