2023763
/m/06fws9
/m/06fws9
Christie Golden
2001-10-01
a 5
addresses 1
aedelas 2
after 2
all 1
alliance 1
allowing 1
also 4
alterac 1
an 2
ancient 1
and 11
any 1
army 3
around 1
as 1
at 2
attack 1
basic 1
battle 2
be 1
becoming 1
before 1
birth 1
blackmoore 8
book 3
both 1
but 1
by 4
captivity 2
captor 1
clan 3
command 1
commands 1
compete 1
course 1
crushes 1
cutting 1
death 1
decided 1
doomhammer 3
drekthar 2
during 2
durnholde 3
earning 1
elemental 1
elements 1
encampments 3
end 1
enrich 1
entrapped 1
escape 1
escapes 1
evaded 1
even 1
eventually 1
every 1
fell 1
final 1
finally 1
find 2
for 2
forced 1
forcibly 1
former 2
fortress 2
found 1
free 1
freedom 2
freeing 1
friends 1
from 3
frostwolf 1
further 1
girl 1
gladiator 2
goal 1
granted 1
grasp 1
grom 2
group 1
had 2
handle 1
he 6
headed 1
hellscream 1
help 2
helped 1
him 3
his 16
history 2
home 1
horde 2
however 1
human 2
humans 1
imprisoned 1
in 5
is 2
journey 2
killing 1
king 1
knowledge 1
late 1
leadership 1
learned 2
learning 1
led 1
liberating 1
life 1
made 1
main 1
many 1
means 1
met 2
moments 1
more 3
mountains 1
named 1
new 1
notes 1
of 20
off 1
on 1
once 1
one 3
only 1
orcish 4
orcs 4
orgrim 1
original 1
out 1
overrun 1
owner 1
parents 1
past 1
path 1
people 1
plans 1
plot 1
position 1
power 1
powers 1
prison 1
promising 1
provided 1
raise 1
raised 1
rallying 1
reasons 1
reinforcements 1
remaining 1
return 1
revolves 1
save 1
set 1
shaman 1
shamanism 1
she 1
slave 1
slavery 1
sneak 1
so 1
some 1
studied 1
succeed 1
succeeds 1
tactics 1
take 1
taking 1
taretha 2
taught 1
thanks 1
that 1
the 31
their 1
them 1
then 3
there 2
these 1
they 1
those 1
thrall 15
title 1
to 20
too 1
tournaments 1
tragically 1
trained 1
tyranny 1
under 2
unfortunately 1
villain 1
want 1
war 1
warchief 3
warsong 1
was 3
ways 1
weapon 1
were 2
where 1
which 1
while 1
who 3
will 1
with 6
would 1
writing 1
young 1
