32585537
/m/0h1h23l
/m/0h1h23l
Amanda Hocking
2010-11-12
a 12
about 1
accept 1
accepts 1
after 1
age 1
alerts 1
allows 1
allwhile 1
almost 1
also 2
an 3
and 27
angora 1
another 1
appearance 1
arranged 2
arrive 1
as 6
asks 2
assigned 1
at 3
attack 1
attempt 1
attempts 2
away 1
badly 1
be 1
become 1
been 1
begin 1
begins 3
being 1
best 1
better 1
between 1
bleed 1
bodyguard 1
book 2
both 2
brief 1
bring 1
brother 2
by 4
can 1
cannot 1
choice 1
classes 1
collapses 1
commune 1
confronts 1
control 1
convince 1
dead 1
did 1
disbelief 1
disliking 1
doctor 1
does 2
drain 1
duncan 5
duty 1
dying 1
effect 1
elora 6
embarrassed 1
end 1
ends 1
engaged 1
engagement 2
enter 1
escape 2
escaped 1
eventually 1
everyone 1
exactly 1
executing 1
experience 1
explain 1
family 1
father 4
female 1
finds 2
finn 9
for 1
frening 5
from 6
get 1
giving 1
goal 1
goats 1
good 1
grand 1
grounds 1
grow 1
guard 1
happened 1
happy 1
has 5
he 3
heal 1
healed 2
help 2
helps 1
her 26
him 8
his 4
hold 1
home 2
host 1
house 1
idea 1
imprisoning 1
in 7
informing 1
informs 1
injured 2
insists 1
instead 2
interlude 1
interrupts 1
is 10
it 4
king 2
knowing 1
kyra 1
kyrawhile 1
language 1
later 2
learn 1
learns 1
leave 2
leaves 1
left 2
location 1
loki 4
love 1
manages 1
markis 1
marksinna 1
marriage 2
matt 4
members 1
midst 1
morecontrolled 1
mother 2
named 1
nearby 1
night 2
nose 1
not 3
now 1
objects 1
of 12
off 1
on 5
one 1
or 1
oren 2
over 1
own 1
painting 1
palace 3
parents 1
part 1
party 1
past 1
perimeter 1
persuasion 1
possesses 1
power 2
powers 4
practises 1
precognition 1
prejudice 1
prior 1
prisoner 1
proposal 1
psychokinesis 1
question 1
raises 1
reacts 1
refuses 1
relationship 1
relationships 1
result 1
return 3
revealed 1
rhys 5
ring 1
romantic 1
running 1
same 1
says 1
severally 1
she 13
shows 1
shuns 1
side 1
skilled 1
so 2
start 1
stay 1
stepmother 1
strengthen 1
stronger 1
such 1
surrounding 1
switched 1
take 1
taken 2
tell 1
tells 5
that 13
the 37
their 2
them 1
then 1
there 1
they 4
this 1
thought 1
three 2
time 1
to 27
together 1
told 1
tove 4
towards 1
tracker 2
trolls 1
trying 1
trylle 4
turns 1
two 3
understand 1
unify 1
union 1
until 1
unusual 1
up 1
used 1
using 1
visits 2
vittra 8
was 1
weakened 1
wendy 20
what 2
where 3
which 4
who 3
will 1
willa 1
with 12
without 1
woman 1
yet 1
young 1
