728752
/m/0367cs
/m/0367cs
Garth Nix
2001
a 14
abhorsen 4
ability 1
absence 1
across 1
adventure 1
afraid 1
age 1
also 1
an 4
ancelestierran 1
ancelestierre 1
and 23
any 1
apparently 1
appointment 1
are 1
around 2
arrives 1
artifacts 1
as 6
assigned 1
at 2
back 1
bathtub 1
be 1
become 1
been 1
befriends 1
begins 1
belisaere 1
birthday 2
birthright 1
blood 1
bloodline 1
blue 1
boat 1
border 1
both 2
but 1
by 3
cannot 1
child 1
chlorr 1
clayr 8
coincidence 1
complexion 1
confirmed 1
continue 2
corners 1
cross 1
crosses 1
dead 3
decide 1
deciding 1
deeptanned 1
differs 1
dispatched 1
disreputable 1
distressed 1
does 1
dog 1
down 1
eleven 1
embarking 1
emotionally 1
encounter 2
ends 1
escape 1
especially 1
expected 1
explorations 1
extend 1
eyes 1
face 1
fact 2
fairhaired 1
father 1
find 1
finds 1
five 1
flees 1
follow 1
following 1
for 1
forgotten 1
fourteenth 1
friend 1
from 1
fulfill 1
future 2
futures 1
generally 2
gets 1
given 2
glacier 1
go 2
greeneyed 1
had 3
hair 1
halfabhorsen 1
hands 2
has 3
he 3
hedge 3
help 1
helps 1
her 11
here 1
herself 1
him 3
his 7
house 1
hurtful 1
importance 1
in 9
inheritance 1
injured 1
intercepted 1
into 4
is 6
itself 1
key 1
keys 1
kingdom 3
lack 1
lake 4
later 1
leaves 2
library 2
life 1
lightning 1
lirael 7
look 1
looks 1
magical 1
mask 1
may 1
meanwhile 1
meets 1
memories 1
mogget 2
mortally 1
most 1
mother 1
muddybrown 1
must 1
mystical 1
nearly 1
necromancer 1
nicholas 1
nick 3
nineteenth 1
nonclayr 1
not 2
novel 1
of 18
old 2
on 6
once 1
one 1
only 1
or 3
other 1
outcast 1
palace 2
pale 1
parentage 1
past 1
paternal 1
paths 1
physically 2
place 1
pointy 1
possible 1
predestined 1
prince 1
proceed 1
quite 1
ratterlin 1
ravenblack 1
realizes 1
recent 1
red 4
region 1
regroup 1
remembered 1
remembrancer 2
rest 1
revelations 1
river 1
roundfaced 1
royal 2
rule 1
safety 1
sails 1
sam 1
sameth 5
sayre 1
search 1
see 2
seers 1
sees 1
set 1
she 6
shown 1
sight 1
since 1
sister 1
solitary 1
south 1
spiritually 1
star 1
strange 1
studies 1
summoned 1
summons 1
surcoat 2
surprise 1
suspicion 1
swiftly 1
sympathetic 1
take 2
that 2
the 47
their 1
then 1
there 1
they 2
this 1
though 1
through 1
to 21
touchstone 1
tower 1
trait 1
trap 1
trouble 1
trowel 1
truly 1
turns 1
understanding 1
unhappy 1
unknown 1
unlock 1
until 1
up 2
upon 1
use 1
usual 1
utmost 1
very 2
vision 1
wall 1
wallmaker 1
way 1
well 1
west 1
where 1
which 1
who 4
whom 1
with 9
within 1
work 1
world 1
years 1
