31648552
/m/0gmg9xf
/m/0gmg9xf
Sara Shepard

3 2
8th 1
a 9
after 1
against 2
alison 8
alongside 1
ambitious 1
an 3
and 11
are 2
aria 2
as 1
at 1
attracted 1
automatically 1
back 2
backyard 1
bar 1
battles 1
be 3
because 1
bee 2
before 2
befriends 1
begins 2
believe 1
book 1
boyfriend 1
brave 1
bulimia 1
buried 1
but 1
comes 1
confided 1
considered 1
continues 1
corpse 1
could 1
darkest 1
develops 1
dilaurentis 1
disappears 1
during 1
each 2
else 1
emily 2
emotions 1
ends 1
english 1
enough 1
everything 1
exclusive 1
ezra 1
family 2
feel 1
feelings 2
fields 1
find 1
fitz 1
for 3
former 2
friend 1
friends 1
from 1
funeral 1
germainand 1
get 1
girl 5
girls 4
grade 1
group 1
guy 1
hanna 3
hastings 2
he 1
her 8
here 1
holds 1
house 1
however 2
i 1
iceland 1
im 1
in 5
incident 1
including 1
independent 1
introduced 1
introduces 1
is 8
it 1
jenna 1
jumps 1
keeping 1
kim 1
kisses 1
knew 1
know 1
left 1
liars 2
like 1
local 1
lost 1
mange 1
manipulative 2
marin 1
maya 1
mean 1
meets 1
melissa 2
messages 1
missing 1
mona 2
montgomery 1
more 1
much 1
mysteriously 1
nerd 1
new 3
not 1
now 1
occur 1
of 4
older 1
one 1
only 2
other 1
overweight 1
past 1
perfect 2
police 1
popular 2
present 1
problems 1
queen 2
receiving 1
refer 1
returns 1
reveal 1
revealed 1
rivalry 1
romantic 1
rosewood 2
saying 1
school 1
secret 1
secrets 3
separated 1
sexual 1
she 5
shocked 1
shoplift 1
sister 1
sleepover 1
sometimes 1
soon 1
sophisticated 1
spencer 2
st 1
stand 1
status 1
still 1
story 3
stress 1
strives 1
struggle 1
struggles 1
swimmer 1
teacher 1
terrifying 1
text 1
than 1
that 1
the 23
their 6
them 1
then 1
they 2
thin 1
thing 1
this 1
threatening 1
throughout 1
to 16
town 2
trip 1
turn 1
up 1
urges 1
vanderwaal 1
ways 1
weight 1
weirdo 1
when 3
where 1
who 5
whoever 1
will 1
with 5
wren 1
year 2
years 1
yet 1
