15888413
/m/03qdv4j
/m/03qdv4j
Margaret Haddix

{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 7
abstain 1
after 2
an 1
and 6
as 1
at 1
attack 1
attentive 1
attractive 1
babysits 1
bad 2
baptized 1
be 1
becomes 1
befriended 1
by 1
children 1
church 1
classmates 1
concerning 1
considers 1
cult 1
difficult 1
dorry 1
effect 1
eventually 1
experiences 1
faith 2
family 1
finds 1
fishers 3
for 1
forms 1
from 4
functions 1
gain 1
god 1
grades 1
group 2
had 1
has 2
heart 1
her 7
herself 1
hollowed 1
in 2
incident 1
increases 1
indianapolis 1
initiative 1
into 1
invite 1
is 2
leave 1
life 1
lonely 1
more 1
mother 1
new 2
number 1
of 4
on 1
oppressive 1
out 1
own 1
particularly 1
pile 1
points 1
pressure 1
quite 1
remains 1
retreat 2
returning 1
searching 1
seekers 1
she 5
sin 1
soon 1
stevens 1
strong 1
takes 1
that 2
the 6
their 2
those 1
to 5
transfer 1
truth 1
up 1
virtue 1
warm 1
welcome 1
who 1
young 1
