2487031
/m/07h9l_
/m/07h9l_
Steven Barnes

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 4
accelerate 1
african 1
also 1
an 2
anansi 2
and 4
angel 1
are 3
as 1
attempt 1
attempts 1
backers 1
background 1
barnes 1
barsoom 1
be 1
become 2
by 3
can 3
cargo 1
commercially 1
crew 1
day 1
delivery 1
deorbit 1
descending 1
dream 1
earth 1
elements 1
escape 1
explained 1
exporting 1
falling 1
fiction 1
first 1
following 1
forces 1
freefall 1
from 1
government 1
hard 1
higher 1
hijack 1
hijackers 1
in 2
incident 1
indeed 1
independent 1
into 2
intrepid 1
its 2
larry 1
manufactured 1
modern 1
namesake 1
nanowire 1
niven 1
of 5
on 1
only 1
or 1
orbital 1
orbits 1
other 1
park 1
particularly 1
payloads 1
physics 1
possibilities 1
project 1
realise 1
retrorockets 1
sabotage 1
science 1
second 1
series 2
shuttle 1
shuttles 1
space 1
spidergod 1
stationmanufactury 1
steven 1
story 1
superstrong 1
tethers 1
that 1
the 11
their 2
they 1
thread 1
thriller 1
tidal 1
to 4
used 1
version 1
without 1
woven 1
written 1
