19600770
/m/04n1xwc
/m/04n1xwc
James White
1974
26yearold 1
a 24
abandoned 1
about 2
abundance 1
accelerate 1
accident 1
action 1
after 1
ages 2
airline 1
alien 1
aliens 5
all 1
almost 1
along 1
already 1
alternative 1
although 1
always 1
among 1
an 4
and 31
another 1
any 2
anyway 1
are 6
arise 1
armed 1
around 1
as 9
at 2
attack 1
attacked 1
automated 1
automobile 1
available 1
awoken 1
back 1
bands 1
battle 1
be 6
became 1
because 1
become 2
becomes 1
been 1
before 2
begin 1
behind 1
being 2
believes 1
best 1
between 1
bloody 1
board 1
boredom 1
both 1
bring 1
broke 1
brother 2
built 1
bullies 1
busy 1
but 4
by 4
called 2
can 2
captain 2
case 1
casualty 1
certain 1
chance 1
chances 1
chattel 1
chose 1
citizens 5
civilians 1
class 1
closer 1
coexist 1
collapse 1
colonist 1
colonization 2
colonize 2
colony 1
compelled 1
considered 3
consumer 1
contain 1
could 1
course 1
creatures 2
crime 2
daunting 1
day 1
deaths 1
decay 1
decaying 1
deceit 1
decide 1
derelict 1
devlin 16
did 1
die 1
died 1
dies 1
dinosaur 1
discover 1
discoveries 1
dispute 1
disputes 1
do 1
doctor 3
does 1
down 1
dream 1
dreams 7
driving 2
duelling 2
during 6
duties 1
dying 1
each 2
earlier 1
early 1
earth 6
eat 1
economy 2
efforts 1
electromechanical 1
electronic 1
eleven 1
else 1
en 1
encounter 1
enough 1
entering 1
entire 1
era 1
escape 1
even 3
everyone 2
except 1
exercise 1
exhaustion 1
faced 1
fail 1
failing 1
father 1
final 1
find 2
finds 1
first 1
fled 2
floating 1
flyby 1
food 2
for 6
force 1
forced 1
forever 1
formation 1
forth 1
found 2
friend 1
from 3
full 2
gangrene 1
girl 1
glorious 1
go 1
goes 1
good 1
goods 1
got 1
government 1
greater 2
grows 1
growth 1
guns 1
gunshot 1
habitable 3
had 7
half 1
happy 2
have 2
having 1
he 12
healthy 1
help 1
hibernation 3
hijacking 1
him 1
his 8
home 3
horror 1
hostile 1
howard 2
hulk 1
human 2
humans 1
if 2
immersed 1
in 19
indeed 1
inevitably 1
infected 1
inflicted 1
inhabited 2
insane 1
instead 1
institution 1
intervals 1
intervene 1
into 1
is 9
it 6
its 1
john 1
keep 1
keeping 1
killed 3
king 1
kingdom 1
land 2
later 1
launch 1
led 2
left 1
legally 1
leisure 1
life 6
limit 1
litter 1
little 2
lived 1
lives 3
long 1
longer 1
look 1
luck 1
lucky 1
maintenance 1
make 3
makes 1
making 1
mammals 1
mankind 1
many 1
masse 1
medical 1
medieval 1
meets 1
men 3
microorganism 1
militarygrade 1
modern 1
more 4
morley 5
most 3
moving 1
much 2
must 1
natural 1
neither 1
new 2
nor 1
not 5
nuclear 1
ocean 1
of 31
on 9
once 1
one 5
only 7
or 1
orbit 1
order 1
other 4
out 4
over 1
overcrowding 1
own 3
painful 1
passes 1
past 2
pastor 1
patricia 1
people 3
perceived 1
perform 1
pilot 1
planet 3
planets 4
police 1
pollution 2
population 1
possibility 1
potential 2
potentially 1
practice 1
predator 2
prehistoric 1
preparing 1
present 1
presented 1
primitive 1
primordial 1
problem 1
problems 2
professions 1
prohibited 1
quality 1
reached 1
realizes 1
reason 1
recruit 1
reduced 1
regular 1
remain 1
remaining 1
required 1
resources 1
respect 1
risks 1
rival 1
roche 1
runs 1
runt 1
salesman 1
same 4
says 1
schoolteacher 1
second 1
sensitive 1
settled 1
several 1
shape 1
sheep 1
ship 4
sleeper 1
slight 1
slowly 1
small 1
smoothtalking 1
so 1
society 2
solar 1
soldier 1
solve 1
solves 1
space 1
spacecraft 1
species 1
spends 1
stamped 1
star 1
stars 2
starship 9
story 1
strong 1
such 1
suicide 1
support 1
supporting 1
survive 1
survives 1
switches 1
systems 5
take 2
task 1
technical 1
than 2
that 11
the 59
their 8
them 2
themselves 1
then 1
these 3
they 7
thinskinned 1
this 2
those 2
though 2
thought 2
thousand 1
thugs 1
time 2
to 34
tolerable 1
trajectory 1
travels 1
treating 1
trilobite 1
turn 2
turned 1
two 1
unarmed 3
unpleasant 2
unsettling 1
unsuitable 1
until 2
urban 1
using 1
usually 1
vegetarian 1
very 2
vigilantes 1
violence 4
voyage 1
wants 1
war 1
warfare 1
was 4
weapons 1
welcome 1
were 10
when 4
which 1
who 7
whom 1
whose 1
will 3
wins 1
with 10
women 1
world 5
worse 1
would 1
wounds 2
wrong 1
years 1
youth 1
