1074708
/m/043qcn
/m/043qcn
Pierre Benoit
1920
{"/m/01hmnh": "Fantasy"}
120 2
186 1
53 1
a 3
able 1
alive 1
all 1
and 4
andr 1
antinea 4
are 1
asexual 1
atlantis 1
atop 1
been 2
by 2
carved 1
cave 2
center 1
charms 1
de 1
descendant 1
desert 1
disappearance 1
doing 1
drugged 1
each 1
escape 1
fellow 1
filled 2
for 2
forever 1
get 1
has 1
have 2
he 2
her 2
in 2
into 1
investigate 1
is 3
it 2
jean 1
kidnapped 1
lovers 1
monstrous 1
morhange 2
murders 1
niches 1
of 6
officers 2
one 1
only 1
out 1
procurer 1
queen 1
resist 1
rest 1
rulers 1
sahara 1
saintavit 2
sit 1
so 1
tarqui 1
the 10
their 1
they 1
throne 1
to 2
two 1
ultimately 1
unable 1
wall 1
warrior 1
when 1
while 1
will 2
with 1
