11352050
/m/02r8mgj
/m/02r8mgj
Frederic Dannay

{"/m/02n4kr": "Mystery", "/m/0j5nm": "Whodunit", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
a 10
about 1
aerie 1
an 2
and 8
another 1
are 4
area 1
as 1
assistant 1
assortment 1
at 1
based 1
battle 1
becomes 1
blackmailer 1
bones 1
boys 1
brother 1
burying 1
but 1
by 1
card 1
cards 1
characters 1
circle 1
clutching 1
conjoined 1
creeps 1
crimes 1
deduction 1
diamonds 1
doctor 2
dr 1
dramatic 1
driving 1
due 1
each 1
ellery 2
escape 1
extended 1
family 1
father 2
feat 1
finish 1
fire 4
first 1
flames 1
forced 1
forest 1
found 1
grounds 1
guests 1
half 2
handedness 1
he 1
his 5
home 2
host 1
impossible 1
in 3
includes 1
including 1
indicate 1
insists 1
investigate 1
is 5
jack 1
keeps 1
kleptomaniac 1
limited 1
mountain 3
mountainous 1
mr 1
murdered 1
murderer 2
murders 1
mysterious 1
name 1
of 12
on 2
one 2
only 2
or 1
pair 1
parcels 1
performs 1
playing 2
private 1
queen 1
reach 1
refugee 1
revealed 1
rings 1
same 1
seek 1
seems 1
shelter 1
siamese 2
smith 1
solution 1
soon 1
states 1
steals 1
suspects 1
teenage 1
that 2
the 24
then 1
they 1
through 1
time 1
to 6
top 3
torn 1
towards 1
twins 2
united 1
unusual 1
upon 1
vacation 1
victim 1
when 2
who 4
xavier 1
xiphopagous 1
