5261893
/m/0dbfy6
/m/0dbfy6
Bernard Cornwell

60 1
a 53
abandons 1
ability 1
about 1
absent 1
accepted 1
accepts 3
accompanied 2
accompanies 1
achieve 1
act 1
adopt 2
adopted 1
advance 1
adventure 1
advice 2
aelle 2
after 8
aftermath 2
afterward 1
again 3
against 5
agreement 1
agricola 1
aid 1
all 4
allegiance 1
alliance 1
allied 1
almost 1
alone 1
alongside 1
already 1
also 2
although 1
ambition 1
among 1
an 15
and 100
angels 1
anger 1
announces 1
another 1
any 2
anywhere 1
apologizes 1
apparently 1
appears 1
appointed 2
appoints 1
are 9
armies 1
armorica 1
armorican 1
armour 1
army 8
arrival 1
arrive 1
arrives 8
arriving 1
arthur 51
as 26
ascertain 1
asks 2
assault 1
assistance 1
assumes 2
assurance 1
at 18
attack 3
attacks 3
attaining 1
attempting 1
attend 1
aunt 1
await 1
away 1
baby 7
back 4
bad 2
ban 3
banished 1
barricaded 1
bastard 1
battle 14
be 11
beaten 1
beating 1
because 2
become 3
becoming 2
been 5
before 3
begin 1
begins 2
begun 1
being 2
believe 1
believes 1
believing 2
beneath 1
benoic 4
besiege 1
best 1
betrothed 3
between 2
bill 1
binds 1
birth 1
black 2
blames 2
border 1
born 2
both 2
bound 1
brains 1
breath 1
bretwalda 1
bringing 1
britain 5
british 3
britons 1
brought 1
bull 1
but 12
by 15
cadarn 2
cadwy 1
caer 1
call 1
called 1
calls 2
calms 1
campaign 1
can 8
cannot 1
capital 2
capture 2
care 1
carries 1
cauldron 1
cease 1
ceinwyn 5
celwin 6
challenges 1
challenging 2
champion 3
chance 2
change 1
chaos 1
charge 2
child 6
chooses 1
christian 4
christians 1
city 8
civil 3
claiming 2
clasps 1
clear 2
clever 1
clyddno 1
come 3
coming 3
commander 1
commanders 1
commands 1
comment 1
comments 1
commit 1
complete 1
confront 1
confronted 1
considers 1
contains 1
contemplating 1
continue 1
control 1
cornwall 1
corpse 1
could 1
council 4
court 1
cousin 1
crippled 1
crown 1
culhwch 1
cult 1
cuneglas 2
currently 1
curse 2
curses 1
customs 1
cuts 1
danger 1
dangerously 1
dark 1
daughter 1
dawn 1
dead 4
death 5
declaration 1
declare 1
declared 2
declares 2
declaring 1
defeat 1
defeated 1
defeats 2
defend 3
defending 1
deity 1
delighted 1
deliver 1
demands 1
derfel 67
despite 1
destroy 2
destroying 1
destroys 1
die 1
dies 1
dinner 1
disappeared 1
disappears 1
disguise 1
