2581528
/m/02p6nd0
/m/02p6nd0
Gene Wolfe
1980
a 28
about 1
abruptly 1
accept 1
accused 1
after 5
again 1
agia 8
almost 1
along 1
altar 2
an 6
and 34
apparently 1
apprentice 1
apprentices 1
archon 1
are 4
aristocratic 1
armoured 1
artifact 1
as 3
asked 1
assists 1
at 2
autarch 2
avern 3
back 1
baldanders 2
barely 1
be 5
beautiful 1
being 1
belongings 2
bet 1
boarders 1
botanic 1
breakfast 1
breaking 1
brother 4
by 6
capture 1
carnifex 1
cell 1
challenger 3
challenges 1
citadel 1
city 3
claw 2
clear 1
cloak 1
coin 1
come 1
comes 1
commit 1
common 1
commonwealth 1
commotion 1
companions 1
conciliator 1
confronted 1
confused 1
continue 1
crashes 1
created 1
crime 1
day 2
dazed 1
dead 1
deadly 1
decaying 1
departs 2
despite 1
destroyed 1
destroys 1
dinner 2
dispatches 1
distant 1
dorcas 4
dr 3
driver 1
duel 1
dueling 2
during 1
earning 1
eating 1
elevated 1
encounter 1
encounters 2
ends 1
enters 1
est 2
eventually 1
executed 1
executes 1
execution 1
executioner 2
expects 1
falls 2
father 1
fiacre 1
finally 2
finding 1
finds 4
first 2
folk 1
follows 1
for 3
forced 1
forces 1
forgiving 1
from 2
fuligin 1
full 1
gardens 2
gate 2
gives 1
gold 1
grave 1
great 1
grounds 1
group 3
guards 1
guild 5
gyoll 1
had 1
hand 1
has 1
have 1
he 11
head 1
headquarters 1
helps 1
her 3
hide 1
him 1
himself 3
hipparch 1
his 11
identifying 1
immediately 1
implied 1
imprisoned 1
in 10
including 1
inire 1
inn 2
innkeeper 1
inside 1
inspires 1
instead 1
intending 1
inter 1
interest 1
into 5
introduction 1
invite 1
invited 1
is 16
it 2
join 1
journey 1
journeyman 1
knife 1
knowing 1
lake 2
landmark 1
large 1
lazaret 1
leading 1
legendary 1
letter 1
life 1
love 1
lover 1
made 1
magnificent 1
male 1
manages 1
mantle 1
masked 1
master 1
meets 2
miraculously 1
morning 1
mountebanks 1
mysterious 2
named 2
narration 1
near 1
necropolis 1
need 1
nessus 3
never 1
next 1
not 1
note 1
oath 1
of 15
on 3
one 1
order 1
other 2
others 1
out 5
owned 1
owner 1
palaemon 1
participate 1
parts 1
passing 1
perform 2
performed 1
pity 1
placed 1
plant 1
play 4
political 1
precious 1
prisoner 2
proceeds 1
pulling 1
purchase 1
put 1
rag 2
ready 1
reasons 1
receives 1
recruit 1
refuses 1
released 1
religious 1
requested 1
return 1
revolutionary 1
reward 1
right 1
river 1
robbing 1
room 1
ruler 1
same 1
saves 1
searched 2
searching 1
secure 1
secures 1
sell 1
set 1
sets 1
several 1
severian 26
share 1
she 2
shop 4
shortly 2
single 1
sister 3
smuggling 1
sneak 1
stabbed 1
stealing 1
stole 1
stops 1
streets 1
suddenly 1
suicide 1
survives 2
swim 1
sword 2
take 1
takes 2
talos 3
terminus 2
terror 1
that 5
the 52
thea 2
thecla 5
their 4
them 1
there 1
they 5
this 1
though 3
thrax 1
through 1
thus 1
to 33
torture 1
tortured 1
torturers 1
toward 1
traveling 1
travelling 1
travels 1
trust 1
turns 1
twin 1
two 1
ultimately 1
uncharacteristically 1
uniform 1
up 1
upon 1
urged 1
use 1
used 2
vodalus 6
volunteer 1
waitress 1
wakes 1
warning 1
was 1
way 2
well 1
when 3
where 4
which 3
while 4
who 2
whom 1
wishes 1
with 6
woman 3
women 1
would 1
young 1
