901743
/m/03n86v
/m/03n86v
Jo Nesbø
1997
{"/m/0lsxr": "Crime Fiction"}
170 1
a 32
able 1
aboriginal 1
about 2
act 2
adapt 1
admits 1
after 2
again 1
against 1
agreed 1
albury 2
alcoholism 1
all 3
alleged 1
allegedly 1
also 2
although 1
always 1
an 1
analysis 1
and 32
andrew 14
another 2
antics 1
any 1
apart 1
apartment 3
appearance 1
approached 1
aquarium 1
are 2
argument 1
around 1
arrogant 1
as 4
asks 1
assailant 1
associate 1
associated 1
associates 1
assumption 1
at 5
attach 1
attempted 1
attempting 1
attempts 2
australia 2
australian 1
away 1
back 5
backstage 1
bad 1
bait 1
bartender 1
based 1
bcelebrity 1
be 1
beans 1
became 3
been 3
before 1
being 1
believe 2
binge 1
birgitta 7
blond 1
blonde 1
blondhaired 1
body 6
bottom 2
boxing 2
boyfriend 1
brawl 1
break 1
breaking 1
breaks 1
but 9
buy 1
buying 1
by 7
cannot 2
capture 1
career 1
cases 3
cause 1
ceiling 1
chained 1
champion 1
chief 1
chivers 1
circus 2
city 2
claims 1
clear 1
client 1
clients 1
cliffs 2
clown 4
clubs 1
coastal 1
coldly 2
comes 1
coming 1
committed 1
conceals 1
concussion 1
confident 1
confronts 2
consequently 2
constant 1
contact 1
contacts 1
containing 1
continually 1
cord 1
could 1
cover 1
crimes 1
culprit 1
cultures 1
cut 1
dashed 1
data 1
date 1
day 1
days 1
death 6
debilitated 1
desperately 1
detective 2
differences 1
directorate 1
disappears 1
discover 2
discovered 1
discovers 2
discovery 1
dismembered 1
dissuade 1
divorced 1
dna 1
docks 1
dope 1
doses 1
doubts 1
down 2
drag 1
drug 3
drunk 1
during 2
electrical 1
empty 1
end 1
ends 2
enquist 2
environment 1
escapes 1
established 1
evans 6
event 1
eventually 2
every 1
everywhere 1
evil 1
expelled 1
failed 1
fall 1
falls 2
female 1
fight 1
finally 1
find 6
finding 1
finds 1
first 1
fish 1
fitting 1
for 15
found 1
frequented 1
frequently 1
from 9
given 1
giving 1
go 1
great 1
growing 1
grows 1
had 8
hanging 1
harry 32
have 3
having 2
he 12
hearsay 1
heavy 1
hell 1
her 11
heroin 1
hers 1
heterobisexual 1
him 9
his 19
hole 2
holter 4
homicide 1
homosexual 1
homosexuality 1
hopes 1
hoping 1
hospital 1
hospitalized 1
hotel 3
however 3
hungover 1
identified 1
immediately 1
immigrated 1
impending 1
in 23
incapable 1
information 4
informed 1
informs 1
inger 4
initially 1
injection 1
insertion 1
inspector 1
interrogates 1
interview 1
interviews 2
into 5
intoxication 1
introduced 3
investigation 3
is 14
it 2
jim 1
just 2
keen 1
kensington 1
kicked 1
killer 1
knew 2
knowing 1
large 1
larry 1
last 1
later 1
lay 1
lead 1
leads 1
leaves 1
lebie 2
leg 1
letting 1
life 1
light 1
local 2
location 1
loose 2
lord 2
made 1
man 3
match 2
matter 1
meet 2
meeting 3
meets 1
might 1
mismanages 1
mockstrangled 1
morning 1
mother 1
murder 2
murders 1
naked 1
near 1
nearly 1
new 1
next 1
night 1
nimbin 3
no 1
noise 1
nominal 1
north 1
norway 1
norwegian 4
now 1
objects 1
obtained 1
of 26
off 1
offering 1
offers 1
officer 1
on 5
once 4
one 1
only 2
operation 1
or 2
organized 1
oslo 1
otto 2
out 6
over 3
parameters 1
partially 1
partner 1
past 1
pay 1
phone 1
picture 1
pimp 1
place 2
plan 1
planned 1
point 1
police 12
poor 1
poorly 1
predatory 1
present 1
press 1
pretense 1
previously 1
process 1
prostitute 4
protege 1
pry 1
pub 1
pursue 1
raid 1
rampage 1
rape 4
raped 1
rapistkiller 1
rate 1
reason 1
receives 1
rechtnagel 6
records 1
recovered 1
registered 1
relationship 2
reluctant 1
remains 1
reputation 1
requested 1
rescue 1
residing 1
respect 1
respectable 1
responsible 2
resulting 1
reveal 1
reveals 1
reverted 1
revolves 1
robin 1
rocks 1
roof 1
room 4
royal 1
sailboat 3
search 2
sent 2
sergei 1
serial 1
serve 1
service 1
several 1
severely 1
sex 1
she 4
shoots 1
shower 1
situation 1
small 3
some 1
something 1
south 1
specifically 1
spill 1
stage 1
stash 1
steaming 1
still 2
storms 1
story 1
strangle 1
string 1
strongmen 1
successfully 1
suggesting 1
surprise 1
suspect 1
suspicion 1
suspicious 1
swede 1
sydney 8
syringes 1
takes 1
taking 1
tank 1
team 2
temperatures 1
tendencies 1
that 23
the 85
their 3
there 3
they 6
this 3
those 1
threatening 1
through 2
time 4
to 42
toowoomba 10
tournament 1
town 2
track 1
tracking 1
tries 2
true 1
trying 1
turns 1
ultimate 1
under 5
underworld 1
unprofessionally 1
unrestrained 1
until 2
unused 1
up 1
upon 1
urging 1
used 1
useful 1
vicinity 1
victim 1
victims 1
visceral 1
visit 1
wadkins 1
wales 1
wanders 1
wanting 1
was 11
washed 1
wearing 1
well 2
when 3
where 2
which 1
while 3
white 5
who 3
whose 1
wig 1
with 13
witness 1
worked 1
works 1
world 1
would 2
wrenches 1
years 2
young 1
