15093621
/m/03hh5ks
/m/03hh5ks
Robert Holdstock
1997
a 8
also 1
among 2
an 1
and 8
angry 1
archetypes 1
are 1
army 3
arthur 1
as 2
assigned 1
better 1
by 2
choice 1
christian 3
companions 1
compelling 1
completing 1
creation 1
culhwch 2
dead 1
death 1
device 1
different 1
difficult 1
echoing 1
end 1
enter 1
enters 1
faced 1
false 1
for 3
from 1
gates 1
grapple 1
group 1
guiwenneth 1
has 2
have 1
he 3
himself 1
his 3
holdstock 1
huxley 1
impossible 1
in 4
includes 1
including 1
influenced 1
inside 1
involving 1
is 4
its 1
join 1
joins 1
king 1
known 1
kylhuk 1
legion 1
like 1
loved 1
mabinogion 1
manifestations 1
many 2
mother 2
mythago 2
mythagos 2
mythic 1
nears 1
numbering 1
of 10
olwen 3
on 2
one 3
ones 1
only 1
opportunity 1
orpheus 1
others 1
pursued 1
pwyll 1
quest 1
rescuing 1
retell 1
ryhope 1
search 2
shaman 1
shapeshifters 1
small 1
specifically 1
story 2
suicide 2
tale 2
tales 2
tasks 1
the 16
these 1
this 2
those 1
thousands 1
to 3
true 1
turn 1
two 2
understanding 1
underworld 3
uses 1
vast 1
very 1
warriors 1
welsh 1
which 1
while 1
who 1
whose 1
with 3
within 1
wood 3
