4816853
/m/0cph49
/m/0cph49
Judy Blundell

a 3
able 1
and 3
battle 1
be 3
been 1
being 2
but 1
by 1
crime 1
danger 1
die 1
empire 2
entire 1
escaping 1
exjedi 1
face 1
ferus 4
for 1
fought 1
friend 1
galaxy 1
going 1
has 2
have 1
he 1
him 1
his 1
hold 1
imprisoned 1
in 2
inquisitor 1
inside 1
is 4
jedi 2
keep 1
kept 1
lives 1
long 1
lost 1
malorum 1
mdash 2
naboo 2
not 1
of 4
olin 1
on 2
only 1
order 2
part 1
planet 1
problem 1
quest 1
revealed 1
ruthless 1
save 1
secret 2
sinister 1
survival 1
take 1
the 10
this 1
to 7
trying 1
vital 1
when 1
where 1
who 1
will 4
wont 1
