21956305
/m/05pbp5g
/m/05pbp5g


{"/m/06n90": "Science Fiction"}
3500000 1
a 2
absorbs 1
age 1
allowed 1
and 3
are 1
as 1
atlas 3
background 1
between 1
built 1
carbon 3
century 1
city 1
co2 1
commenced 1
committee 1
country 1
crisis 1
decided 1
destroys 1
dioxide 1
disparity 1
due 1
earthquake 1
economic 1
elite 1
emission 1
enough 1
for 1
forcefully 1
global 1
government 1
great 1
group 1
however 1
in 2
international 1
into 3
is 4
its 2
japan 1
junglepolis 1
jungles 1
largest 1
levels 1
lifted 1
living 1
mainly 1
market 1
metal 1
mid21st 1
migrate 1
mitigate 1
most 1
much 1
nature 1
not 2
of 5
on 1
only 1
opposes 1
oppressive 1
organization 1
outside 1
oversee 1
people 2
placed 1
plan 1
project 1
rebuilding 1
reduce 1
refugees 1
result 1
room 1
set 1
so 1
story 1
tax 1
that 1
the 18
to 5
tokyo 2
trade 1
transferred 1
turned 1
up 1
walls 1
warming 1
was 1
which 1
with 1
within 1
worlds 1
yet 1
