15519597
/m/03md1cp
/m/03md1cp
David Michaels
2008-02-04

0 1
2016 2
2020 2
265 1
3 1
48 1
7 1
a 15
able 2
aboard 1
after 9
agrees 2
airfield 1
alberta 1
alice 2
alive 1
all 5
allies 1
allow 1
almost 1
also 3
an 3
an130 1
and 29
annihilating 1
answer 1
answers 1
antsyforov 2
any 2
anywhere 1
apphire 1
approached 1
arabia 1
are 7
arrive 1
arrives 1
as 1
assault 1
at 5
attack 1
attacked 1
attempts 1
back 4
base 1
be 1
because 3
becerra 1
becomes 1
before 2
begin 1
begins 2
being 3
between 1
blamed 1
bombs 4
border 1
both 2
boyd 4
bravo 1
brigade 2
brigades 1
bring 1
but 4
by 5
c130 1
calgary 1
call 1
called 2
calls 1
canada 7
canadian 1
captain 4
capture 1
captured 1
capturing 1
carrier 1
catch 1
center 1
charges 1
charles 1
cities 2
citizen 1
colonel 11
combat 2
combined 1
composed 1
countries 2
country 1
cuba 2
cuban 1
currently 1
damage 1
decoy 1
defuse 2
defuses 1
demands 1
dennison 5
deploy 1
destroy 1
destroyed 1
destroying 1
detonate 2
detonates 1
died 1
dies 2
disbanded 1
dispatched 1
doing 1
doletskaya 7
down 5
during 2
ecoterrorist 1
edmonton 1
ef 2
effectifevly 1
eighth 1
emergency 1
end 1
engagement 1
enlist 1
entire 2
europe 1
european 1
evacuate 2
even 1
excanadian 1
f35 2
f35s 2
fail 2
falls 1
federation 2
ferried 1
fighter 1
figures 1
find 2
finds 2
fire 2
flight 1
fly 1
flying 1
for 3
force 4
forces 3
form 1
freedom 1
frees 1
from 6
fully 1
gets 1
ghost 1
giving 1
go 1
goes 1
green 5
grenade 1
ground 1
group 2
gru 1
guns 1
half 1
halverson 11
handful 1
has 1
hasnt 1
have 2
hawk 1
he 6
held 1
helicopter 3
helicopters 2
helo 2
helos 1
help 3
her 8
hiding 1
high 1
him 3
himself 2
his 3
holds 1
hours 1
however 1
igloo 1
in 24
infamous 2
information 1
injuring 1
interrogated 1
interrogation 1
interrogator 1
into 4
invading 1
invasion 1
iran 1
iren 1
is 30
it 6
jake 2
jets 2
jfk 1
johansson 1
joint 2
jsf 3
jungle 1
ka2 3
khaki 2
killed 4
kills 1
land 2
lands 1
large 2
later 1
launching 1
leader 3
leading 2
leads 2
leftwing 1
legs 1
level 1
lisa 1
location 1
lone 1
longer 1
love 1
major 13
manages 1
marc 3
marine 1
marines 2
mcallen 2
meanwhile 2
mechanical 1
merged 1
minutes 1
more 1
moscow 2
most 1
move 1
multiple 1
named 1
nathan 2
nations 1
negotiations 1
nest 3
neutral 1
new 1
no 1
nuclear 6
observe 1
of 18
off 2
oil 3
on 6
one 4
only 4
open 1
operation 1
operations 1
or 1
order 2
orders 1
other 1
out 4
outlaw 9
over 3
pavel 2
pilot 1
pilots 1
plan 2
plane 2
point 1
powerful 1
pravota 3
president 7
prior 1
problems 1
producer 2
purpose 1
put 2
questions 2
quickly 1
rakken 4
realizes 1
realizing 1
rearming 1
receives 1
recon 1
refineries 1
refuel 1
refueling 1
refuses 2
relieved 1
rescue 3
rescued 1
responsible 1
retreats 1
return 1
returns 1
risk 1
rocket 1
run 1
russia 4
russian 7
russians 2
sacrifices 1
saudi 1
save 2
scare 1
second 1
seconds 1
send 1
sent 2
sergeant 5
sgt 1
shakura 2
she 5
shoot 2
shot 4
sidearm 1
snegurockha 3
so 1
soldier 1
soldiers 1
sole 1
some 1
soon 1
space 4
special 2
spetsnaz 8
stage 1
staging 1
star 1
states 2
station 3
stephanie 1
still 2
strike 2
su8 1
submarine 1
successfully 1
super 1
support 1
survives 1
survivor 3
take 2
takes 1
task 1
team 18
teams 1
tell 1
tells 5
termed 1
terrorist 1
terrorists 2
that 17
the 79
their 2
them 4
then 5
there 1
they 6
thinking 1
this 4
throws 1
time 3
to 42
told 2
top 1
torture 1
town 2
transnational 1
transporting 1
trip 1
troop 1
troops 5
trying 2
turn 1
turned 1
two 6
under 1
united 3
until 1
up 1
us 8
vatz 6
via 1
victor 1
viktoria 3
vox 3
wait 1
wants 1
war 4
warns 1
was 2
when 3
where 1
which 1
while 1
will 4
wingman 2
with 8
within 1
world 4
would 1
year 1
yet 1
