6628
/m/01y92
/m/01y92
Frank Herbert
1976
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 7
abomination 2
about 1
across 1
after 1
against 1
agents 1
alia 9
all 1
allies 1
also 2
among 2
an 1
ancestors 1
ancestral 1
and 31
anticipate 1
are 1
arid 1
armies 1
arrakis 3
arranges 2
arrive 1
as 3
assassinate 2
assassination 1
asserts 1
at 2
atreides 2
attempt 1
attempts 1
avenge 1
awaits 1
band 1
baron 1
be 2
become 1
been 2
begins 1
believe 1
bene 1
bid 1
blind 1
bring 1
brother 2
but 2
by 4
called 1
capital 1
captors 1
capture 1
changes 1
chaos 1
children 1
cities 1
climate 1
commit 1
concluded 1
confront 1
confronts 2
control 3
coronation 1
corrino 4
council 1
daughter 1
declares 1
delivers 1
desert 4
destroying 1
display 1
does 1
duncan 3
dune 2
ecological 1
elects 1
emperor 4
enlists 1
erode 1
escapes 2
expected 1
experience 1
exploit 1
extinct 1
fact 1
fallen 1
falsely 1
faradn 3
fate 1
father 2
fear 1
fears 2
figure 1
finds 1
flee 1
flees 1
for 2
force 1
fremen 7
from 1
fruition 1
fuse 1
future 1
futures 1
gaining 1
genuine 1
gesserit 1
ghanima 8
golden 2
government 1
grandfather 1
group 1
guardian 1
had 1
harkonnen 1
has 8
have 2
he 8
heir 1
help 2
her 12
high 1
him 6
himself 2
his 13
house 1
humanity 3
idaho 2
identity 1
if 1
ii 1
immortal 1
imperial 1
in 7
infiltrated 1
initiative 1
injustices 1
into 4
is 5
it 1
jessica 4
jihad 1
kill 1
killing 1
kills 1
known 1
lady 1
leader 1
leaves 1
left 1
less 1
leto 9
like 1
lives 1
living 1
lost 1
marriage 1
marry 1
masking 1
memories 1
memory 1
mentor 1
more 2
mother 2
move 1
muaddib 2
murder 1
murdered 2
myriad 1
names 1
nearinvulnerability 1
neutrality 1
new 1
nine 1
no 1
now 1
of 18
offers 1
old 1
omnipotent 1
on 2
one 3
only 1
out 2
outlaws 1
over 1
overcome 1
overwhelmed 1
path 2
paul 4
persona 1
personae 1
physically 1
pilgrims 1
planet 1
planning 1
plans 1
plot 1
plots 1
plotting 1
point 1
political 1
possessed 2
possession 2
possible 1
power 2
powerless 1
preacher 5
precipitating 1
prescience 2
promise 1
protect 1
prove 1
provokes 1
pursuit 1
railing 1
reached 1
realize 1
rebellion 1
recaptures 1
recognize 1
recognizes 1
regain 1
regent 1
religious 2
reports 1
requires 1
resolves 1
return 3
returns 2
revealing 1
reveals 1
risen 1
sacrifices 1
salusa 2
sandtrout 1
sandworms 1
school 1
secundus 2
seek 1
seemingly 1
seizes 2
selfhypnosis 1
service 1
sharing 1
she 2
show 1
side 1
sietches 1
signs 1
similar 1
sister 1
some 2
source 1
spice 2
spiceinduced 1
started 1
stilgar 3
stillsuits 1
strength 2
succumbed 1
suggestion 1
suicide 1
superhuman 2
support 1
survive 1
survives 1
terraforming 1
that 7
the 47
their 2
them 2
there 1
they 1
this 2
thus 1
thwart 1
to 29
trance 1
transformation 1
trapped 1
travels 1
triggers 1
true 1
twin 1
twins 3
undergo 1
universe 1
untenable 1
villages 1
visions 1
vladimir 1
walked 1
ways 1
when 1
where 4
while 1
who 5
will 3
with 7
without 1
years 1
young 1
