18163141
/m/04cr6sk
/m/04cr6sk
Robert Silverberg
1967-08
17yearold 1
a 19
accompanied 1
adopt 2
affection 1
after 1
against 1
agree 1
agreement 1
alienates 1
aliens 4
all 1
allexpenses 1
allowed 1
already 1
also 1
alterations 2
altered 1
an 4
and 22
any 1
apparently 1
appear 1
appearance 2
appreciate 1
are 2
army 1
around 1
aroused 1
as 4
asks 1
assistants 2
astronaut 1
at 1
attempted 1
attention 1
attraction 1
audience 2
babies 2
back 1
baron 1
be 1
because 1
become 1
been 1
befriend 1
begin 1
begun 1
beyond 1
bitterness 1
bland 1
body 2
both 1
break 1
brief 1
burris 13
by 9
calculation 1
captured 1
carried 1
causes 1
chalk 11
chance 1
changes 1
chat 1
childlike 1
children 1
circle 1
clues 1
colonized 1
come 2
comes 1
commit 1
company 1
compassion 1
confront 2
convinced 1
core 1
curdles 1
daily 1
dangling 1
david 1
deeply 1
died 1
does 1
donated 1
drama 1
dramas 1
draws 2
duncan 1
during 1
each 2
earth 1
eggs 1
elise 2
emotional 1
emotions 1
empathy 1
empty 1
ends 1
enjoy 1
enjoys 2
erupts 1
even 4
eventually 1
example 1
experiment 1
explorer 1
exploring 1
expose 1
fade 1
fame 1
far 1
fashion 1
feast 1
feats 1
fertility 1
fight 1
finally 2
first 1
fling 1
flood 1
follows 1
for 5
freakish 1
from 3
full 2
galaxy 1
girl 1
gives 1
grisly 1
guide 1
has 11
hatredall 1
he 6
help 2
her 4
him 4
his 7
hook 1
hostility 1
however 1
human 1
humanity 2
hundred 1
if 1
improved 1
in 6
inadvertent 1
information 1
inner 1
intensity 1
interplanetary 1
into 4
involves 1
irreversible 1
irritation 1
is 4
join 1
keep 1
kelvin 8
killed 1
kind 1
landing 1
latest 1
lets 1
limitless 1
lona 1
longer 1
lovers 1
man 1
manipool 4
masculine 1
may 1
means 1
meanwhile 1
media 2
meeting 1
melangio 2
memory 1
minner 1
mogul 1
monster 1
more 1
mother 1
moved 1
mutual 1
naive 1
nature 2
new 1
no 1
not 1
nourishment 1
novel 1
of 22
off 2
offers 2
office 1
offspring 1
on 3
one 1
only 1
or 1
orchestrates 1
other 2
others 1
out 1
outward 1
overwhelmed 1
overwhelming 1
paid 1
pain 2
pairing 1
particularly 3
performed 1
planet 1
playing 2
plight 1
possiblethe 1
presented 1
presumably 1
pretext 1
produced 1
promise 1
promises 1
protector 1
provide 1
psychic 2
public 1
rage 1
reaches 1
realized 1
reallife 1
repulsed 1
resources 1
restore 1
returns 1
round 1
sadomasochistic 1
seclusion 1
see 1
sexual 1
shaken 1
she 1
slip 1
snack 1
solar 2
some 1
soon 1
sort 1
space 1
stirred 1
stories 1
subjected 1
subjects 1
such 1
suicide 2
surgery 2
surgical 1
surgically 1
sustenance 1
system 2
take 1
teenager 1
that 8
the 30
their 1
them 4
they 2
those 1
though 1
to 19
together 1
tour 1
tragedy 1
trauma 1
traumas 1
treatment 1
trip 1
triumph 1
true 2
try 1
turned 1
twice 1
two 3
typically 1
undergo 1
unexpected 1
unfiltered 1
unknown 1
uses 1
vampire 1
ventures 1
vicious 1
virgin 1
void 1
was 2
ways 1
what 1
whenever 1
where 1
which 2
who 7
whose 3
widow 1
will 1
with 3
withdrawal 1
withdrawn 1
world 1
wounded 1
wrought 1
