7419290
/m/02610rn
/m/02610rn
Amelia Atwater-Rhodes
2006-09
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 49
abducted 1
able 1
about 1
abrubtly 1
accept 1
accepting 1
accepts 1
accidentally 1
accordance 1
acting 1
actual 1
adults 1
after 7
again 3
agree 1
ahneh 1
ahnleh 1
ahnmik 1
alistairs 1
all 1
allowed 1
alone 1
already 3
also 3
ambitious 1
among 1
an 4
ancient 1
and 83
anhamirak 2
answers 1
anyone 2
apart 1
apologizes 1
appears 1
appoints 1
approaches 1
arami 2
are 15
around 1
as 20
aside 1
asking 2
asks 6
asleep 2
assault 1
at 7
attacking 1
attempt 3
aunt 3
avian 5
avians 5
away 2
back 2
band 2
be 6
beat 1
beaten 1
became 2
because 4
become 1
becomes 2
becoming 2
been 3
before 5
begins 3
being 2
believed 1
betia 30
betrayal 1
between 8
black 1
blatant 1
blessing 1
blind 1
bond 2
book 2
both 2
breaks 1
bring 1
brushes 1
burmese 1
but 14
butterflies 2
by 18
calm 1
came 1
can 4
care 1
careless 1
catalyst 1
caused 1
change 1
chase 1
chases 1
check 1
child 3
children 1
choice 1
choices 1
choosing 1
chose 1
chosen 1
city 1
claim 1
clear 1
cobra 1
combination 1
combine 1
come 1
coming 1
concern 1
confirms 1
confrontation 1
confronts 1
continually 1
control 2
controlled 1
convicted 1
convicts 1
convince 1
convinced 1
convinces 2
could 2
court 6
courting 1
courtyard 1
cousin 3
creates 1
credit 1
crying 1
cult 1
culture 2
curled 1
curses 1
dance 4
danced 1
dancer 3
dancers 3
danica 1
dark 1
dasi 2
daughter 1
day 1
deadly 1
deal 1
death 1
decided 1
decline 1
deeply 1
define 1
descendants 1
destroying 1
details 1
devastated 1
did 2
didnt 2
differences 1
disclose 1
distraught 1
divided 1
do 6
doesnt 2
dont 1
dormant 1
down 2
each 1
educate 1
else 1
elsewhere 1
embarrassed 1
ends 2
enough 1
entire 2
erupts 1
escape 1
escort 1
escorts 1
especially 1
essence 1
even 2
evening 1
eventually 1
everything 2
exact 1
example 1
exhausted 1
exiled 1
exits 1
experienced 2
explain 1
explaining 1
explains 2
eyes 1
fade 1
falcon 3
falcons 2
fall 1
falling 1
fallout 1
familiar 1
father 1
feared 1
feel 1
feelings 1
female 1
feral 2
few 1
fight 2
find 3
finds 4
first 4
flee 1
fleeing 1
flees 1
flies 1
fling 1
flirting 1
for 13
forced 1
forest 1
forgive 1
form 4
forward 2
found 3
free 1
friendly 1
friends 1
from 5
front 2
full 1
furious 4
future 4
gather 1
get 1
gets 2
given 1
gives 2
giving 1
go 3
god 1
goes 3
gold 1
gone 1
good 1
group 2
guild 8
guilty 1
had 4
hai 9
halfcobra 1
halfstarved 1
hand 1
handwriting 1
happened 1
happy 2
harming 1
has 8
hating 1
hatred 1
have 10
hawk 2
he 9
heir 5
heirs 1
her 72
here 1
herself 4
hesitant 2
him 10
hired 1
his 9
hisses 1
holding 1
honor 1
honored 1
hope 1
horrified 1
hours 1
how 1
however 2
human 1
hurry 1
i 1
idea 4
identifies 1
if 3
ignorance 1
illusion 1
imaginary 1
in 42
incidentally 1
indicates 1
insanely 1
instantly 1
into 7
intrigued 1
is 23
it 9
join 1
just 2
kalisa 2
keep 3
kept 1
keyi 4
kidnap 2
kiesha 4
kill 1
killed 2
kinds 1
king 1
kiss 2
kneels 2
knees 1
knows 1
lands 1
language 1
last 1
later 2
law 1
laws 1
lead 1
leader 5
leaders 1
leading 1
learn 1
learning 1
leave 2
leaves 2
leben 2
led 1
left 3
legs 1
lessen 1
library 4
life 1
light 1
like 1
line 2
lion 2
little 1
live 2
lived 1
local 2
long 1
longer 1
look 2
looking 1
looks 2
loss 1
lost 2
love 3
lover 1
lovers 1
lower 1
made 1
maeve 7
magic 6
magics 1
mainly 2
makes 1
man 1
manages 3
market 2
marketplace 1
martyrs 1
marus 3
mate 13
mates 1
meaningless 1
means 1
meeting 3
meets 2
melos 4
memory 1
men 4
mercenaries 3
merchants 1
more 2
morning 1
mother 3
motivations 1
moved 1
moves 1
much 1
murdered 3
must 1
name 2
named 1
nation 1
nature 1
near 1
necklace 1
need 1
nest 5
never 1
new 3
next 3
nicias 7
night 1
no 5
not 5
note 1
noticed 1
notices 2
now 4
numbness 1
obsidian 8
obvious 1
of 49
off 3
offered 1
offers 1
officially 1
old 1
oliza 54
on 5
once 2
one 8
ones 1
only 1
opposite 1
other 3
otherwise 1
out 7
outlaws 1
own 1
pack 8
pain 1
pair 1
palace 1
panic 1
parents 3
part 1
people 6
perform 1
performed 1
person 1
place 1
pointing 1
points 1
poison 1
poiting 1
postpones 1
powerful 1
powers 2
practicing 1
praise 1
precious 1
preferences 1
preferred 2
prejudice 1
preregrine 1
presents 1
presumably 1
priestesses 1
priests 1
problem 1
produce 1
pulls 1
punches 1
punish 1
punishment 2
put 2
python 1
queen 1
question 1
rainbows 1
rape 2
ravaged 1
raven 1
reaches 1
react 1
ready 1
realizes 2
really 1
recalls 1
recognises 1
reconcile 1
refused 1
refuses 1
regained 1
regains 1
relates 1
relating 1
relationship 1
remember 2
remembers 2
reminds 1
renounces 1
request 2
rescued 1
responds 2
responsibilities 1
rest 1
return 1
returns 1
riddled 1
right 1
roams 1
room 1
royal 2
rsh 1
run 3
runs 3
sacrifice 1
said 1
sakkriahe 1
salem 1
same 3
saw 1
saying 4
says 2
scarf 1
seconds 1
seduced 1
see 3
seemed 1
sees 3
self 1
send 1
senses 1
sensual 1
sent 1
separate 1
serpent 3
serpents 2
serpiente 9
several 2
sexual 1
shadows 1
shapeshifter 1
she 65
shell 1
shock 1
shocked 2
shocking 1
since 1
sisters 1
sitting 1
sive 2
sleep 1
slightly 1
slowly 1
so 2
society 1
some 1
son 1
soon 1
speaking 1
speaks 2
speech 1
spell 2
spite 1
spun 1
start 1
starting 1
starts 2
stay 1
step 1
steps 2
still 3
stop 1
stopped 1
story 1
strong 2
stunned 1
succeeds 1
such 1
suicide 1
sure 1
survive 1
symbol 1
tail 1
take 3
taken 1
takes 6
talk 1
talking 1
tell 1
telling 1
tells 8
tension 1
tents 1
terror 1
than 1
that 29
the 124
thea 2
their 9
them 13
themselves 1
then 11
there 6
they 20
thing 1
this 5
though 5
threads 1
threatens 1
three 5
throne 5
through 1
time 3
tired 2
to 90
together 4
told 1
too 3
took 3
towards 1
travel 2
tries 4
triggered 1
troubled 1
troubles 1
truly 1
try 1
turned 2
turns 1
tuuli 2
two 6
under 1
understand 2
unless 2
up 2
urban 8
use 1
usually 1
velyo 9
very 1
viper 1
vipers 1
vision 6
visions 5
walk 1
walks 1
want 1
wants 1
war 2
was 16
watching 1
way 1
weapons 1
well 1
were 2
werent 1
what 8
when 5
where 4
which 4
while 3
white 2
whitehaired 1
who 16
why 2
will 8
willing 1
wings 1
with 29
within 1
without 1
wolf 2
wolves 2
woman 1
woods 1
word 1
worried 1
worry 1
would 2
wouldnt 1
wyvern 8
wyverns 1
you 1
young 1
your 1
youre 1
zane 1
