9341244
/m/028556b
/m/028556b
MaryJanice Davidson

{"/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/072lff": "Paranormal romance"}
1st 1
31st 1
a 8
and 6
anniversary 1
anything 1
are 1
arriving 1
attic 1
avoiding 1
baby 2
be 2
become 1
been 1
before 1
being 1
best 1
betsy 2
birthday 2
blood 1
brother 1
but 2
by 1
cancer 1
celebrating 1
childhood 1
converting 1
cranky 2
dead 1
deals 1
deciding 1
delegation 1
diagnosed 1
do 1
doesnt 2
drinking 1
dropping 1
european 1
for 1
friend 2
friends 1
give 1
good 1
guests 1
has 3
having 1
he 1
help 1
her 11
honour 1
idea 1
in 2
is 5
it 2
jessica 1
just 2
keep 1
leads 1
likes 1
making 1
maybe 1
might 1
nobody 1
occupied 1
of 4
or 1
party 2
pay 1
perhaps 1
phone 1
plan 1
planning 1
plenty 1
queen 1
respects 1
ringing 1
she 6
should 1
since 1
sinclair 1
sit 1
stop 1
summer 1
sure 1
surprise 1
taylor 1
that 6
thats 1
the 2
their 1
they 1
think 1
this 1
to 10
told 1
trying 1
undead 1
unexpected 1
up 1
vampire 2
vampires 2
want 1
wedding 1
with 4
wont 1
zombie 1
