2621769
/m/07scfy
/m/07scfy
Katherine Paterson
1980
80 1
a 9
after 1
along 1
also 2
amazing 1
an 3
and 11
as 4
attempts 1
attention 1
avail 1
away 1
back 1
be 2
because 1
become 1
becomes 1
befriends 1
believes 1
birth 1
boy 1
bradshaw 7
but 2
call 2
called 1
can 1
captain 2
caroline 7
characters 1
child 1
comes 1
considered 2
crabbing 1
death 1
despises 1
during 1
educated 1
end 1
eventually 1
falls 1
father 2
feminine 2
friend 2
frustrated 1
get 1
goes 1
goldenhaired 1
graduated 1
grandma 1
grandmother 1
grandpa 1
growing 1
grows 1
hard 1
hates 1
he 5
heathen 1
helps 1
her 6
high 1
him 1
hiram 1
his 1
home 1
husband 1
if 1
in 5
intelligent 1
is 13
island 3
juilliard 1
known 1
leaves 1
live 1
longtime 2
lord 1
louise 9
love 1
loves 1
made 1
man 1
married 2
marries 1
mccall 3
miracle 1
more 2
mother 1
mountains 1
move 1
moved 1
music 1
near 1
new 1
nickname 1
no 1
of 5
old 1
older 1
on 2
oppressive 1
or 1
peers 1
perfect 1
pianist 1
playing 1
purnell 2
receives 1
religious 1
sara 3
school 2
season 1
secondfiddle 1
she 15
singer 1
sister 3
situation 1
small 1
story 1
strict 1
susan 3
teacher 1
tease 1
tends 1
than 1
that 1
the 16
then 1
through 1
to 13
town 1
truitt 4
unceasing 1
up 2
used 2
very 1
veteran 1
wallace 1
war 1
was 2
water 1
waterman 1
went 1
wheeze 1
when 1
who 1
with 3
woman 2
year 1
york 1
