7213629
/m/025wb1p
/m/025wb1p
William Goldman
1976-08
{"/m/03npn": "Horror", "/m/05hgj": "Novel"}
a 8
about 1
actually 1
adds 1
adolescence 1
after 1
alcoholic 1
alive 1
all 1
although 1
an 1
and 8
ann 1
anyone 1
apart 1
around 1
aspects 1
at 1
be 1
bear 1
begin 1
begins 1
can 1
catskills 1
certain 1
changing 1
childhood 1
chronicles 1
climax 1
combine 1
concerning 1
concerns 1
connection 1
corky 6
crush 1
deep 1
disorder 1
disturbing 1
dummy 2
during 1
early 1
especially 1
events 1
extended 1
factors 1
fats 7
for 5
friends 1
from 1
has 1
he 2
hidden 1
highschool 1
his 2
home 1
homicidal 1
identity 1
important 1
in 2
increasingly 1
is 3
it 1
kaleidoscopically 1
know 1
lackluster 1
leaving 1
location 1
long 1
love 1
magician 1
man 1
many 1
multiple 1
murder 1
named 2
not 1
novel 3
oddtempered 1
of 6
outlet 1
peggy 2
people 1
performances 1
period 2
periods 1
personality 2
point 1
portion 1
quickly 1
reach 1
relationship 1
seeing 1
shattering 1
show 1
shy 1
snow 1
soon 1
start 1
swiftly 1
tell 1
that 3
the 9
their 1
these 1
thinks 1
threatens 1
time 3
to 7
trait 1
turn 1
unknown 1
ventriloquist 1
view 1
weekend 1
when 1
whose 1
withers 1
worry 1
written 1
