4345094
/m/0by82t
/m/0by82t
Stanley Waterloo
1897
a 10
ab 6
against 1
age 1
amid 1
an 1
and 11
arrow 1
as 3
attention 1
author 1
baby 1
battle 1
becomes 1
between 1
both 1
bow 1
boy 1
but 1
by 2
catches 1
cave 1
companion 1
contention 1
courts 1
dangers 1
digs 1
division 1
does 1
domesticate 1
during 1
eventually 1
family 1
fight 1
fine 1
first 1
for 2
forced 1
friend 2
from 1
girl 1
gradually 1
great 1
grows 2
guilt 1
haunted 1
he 3
helps 1
himself 1
his 8
holds 1
hunt 1
in 4
invading 1
invents 1
is 5
kill 2
large 1
leader 1
leads 1
learned 1
life 1
lightfoot 2
make 1
mammoth 1
man 2
manhood 1
many 1
marauding 1
mate 1
men 2
murdered 1
naturally 1
neighboring 1
neolithic 1
no 1
oak 1
of 5
older 1
one 1
paleolithic 1
participates 1
particular 1
patriarch 1
people 1
perfects 1
periods 1
personal 1
pets 1
pit 1
polished 1
primitives 1
prove 1
rhinoceros 1
sabretooth 1
savage 1
sharp 1
stone 1
support 1
that 2
the 13
there 1
tiger 1
times 1
to 6
tools 1
tribe 4
used 1
was 1
weapons 1
who 1
wins 1
with 2
wolves 1
women 1
young 2
