1201696
/m/04gvr2
/m/04gvr2
James Clavell
1962
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/098tmk": "War novel", "/m/0hwxm": "Historical novel"}
142 1
145 1
a 10
accordingly 1
accustomed 1
alive 2
almost 1
american 2
among 1
an 2
and 21
antithesis 1
anything 1
are 6
arent 1
arrest 1
artist 1
as 2
asian 1
asks 1
at 1
attempt 1
attempting 1
attention 2
available 2
avoiding 1
away 1
bare 1
because 1
become 2
been 2
befriend 1
behavior 1
being 1
believe 1
believes 1
best 1
beyond 1
black 2
boy 1
brings 1
britain 1
british 4
brought 1
brutal 1
business 1
but 1
buy 1
by 3
camp 3
care 1
cause 1
changi 1
characters 1
charisma 1
chief 1
civilian 1
class 2
close 1
clothing 1
come 2
comes 1
compassion 1
comrades 1
con 1
concern 1
conversing 1
corporal 1
courage 1
daily 1
day 2
deals 1
degraded 1
despite 1
developed 1
discipline 1
disease 1
display 1
distinction 1
disturbing 1
done 1
down 1
each 1
early 1
edge 1
empire 1
enclosed 1
enlisted 1
enough 1
environment 1
even 1
everything 1
expect 1
experiences 1
extra 1
family 1
fellow 1
few 1
filthy 1
flight 1
follows 1
food 5
for 6
freshly 1
friends 1
from 2
gain 1
give 1
given 1
grey 4
guards 1
has 5
have 2
having 1
he 3
help 2
him 8
himself 1
his 4
homemade 1
honesty 1
hopes 1
humanity 1
huts 1
ideals 1
in 10
information 1
initially 1
injury 1
intelligence 2
involve 1
irrespective 1
is 5
isnt 1
it 1
japanese 1
javertlike 1
just 1
keeps 1
king 12
korean 1
language 1
laundered 1
lieutenant 1
life 1
literally 1
live 1
local 1
losing 1
lucrative 1
luxuries 1
maintain 1
major 1
malay 2
man 2
market 1
marketeer 1
marlowe 7
marlowes 1
marshal 2
medical 1
men 1
military 1
minimum 1
most 2
mouths 1
native 1
needed 1
no 1
not 1
nothing 1
novel 2
obsession 1
obtaining 1
odds 1
of 14
off 1
offers 1
officer 1
officers 3
often 1
old 1
on 1
one 1
only 1
opens 1
or 3
other 4
others 2
otherwise 1
out 1
own 1
partnership 1
parts 1
payroll 1
personality 1
perspective 1
peter 1
portrayal 1
position 2
pow 3
power 1
prevent 1
prisoners 3
provide 1
provost 2
put 1
raf 1
rags 1
rather 1
reduced 1
regulations 1
rewards 1
risks 1
robin 1
rules 1
sake 1
secretly 1
sees 2
selling 1
senior 1
servants 1
shoes 1
since 2
skill 1
society 2
some 2
son 1
soon 1
starvation 1
status 1
stay 1
steal 1
strict 1
successful 1
survival 1
take 1
taught 1
terrible 1
than 1
that 2
the 34
their 5
them 1
they 1
thief 1
this 1
through 2
to 19
trader 1
tradesmen 1
trading 1
turn 1
turns 1
unavailable 1
understands 1
uniforms 1
upper 1
using 1
valuables 1
various 1
villagers 1
violating 1
vivid 1
wearing 1
what 2
when 1
which 1
while 2
who 2
winning 1
with 5
without 1
workingclass 1
would 2
young 1
