2074130
/m/06kcbg
/m/06kcbg
Harriet Adams
1967
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction"}
101 3
a 8
about 1
act 1
after 1
all 1
along 1
also 1
although 1
an 1
and 8
another 1
anymore 1
are 1
as 2
asks 1
bad 1
be 2
believe 1
boys 8
but 4
cannot 1
capture 1
capturing 1
castle 1
caught 1
check 1
come 1
criminals 2
dad 8
disappears 1
do 3
does 1
done 1
ends 2
escape 3
everyone 1
exiting 1
fenton 2
finally 1
find 2
fine 1
first 1
flight 4
frank 6
gang 2
get 1
go 2
guard 2
hardy 3
have 2
he 4
helps 1
here 1
hexton 8
him 1
hinges 1
house 1
how 1
in 6
inside 1
international 1
is 4
it 2
jewels 2
job 1
joe 6
joke 1
just 1
kidnapped 1
leader 1
leaving 1
light 1
locked 1
look 1
magic 1
might 1
more 1
moved 1
not 4
nothing 1
now 1
of 4
off 1
offers 1
on 6
overhear 1
performed 1
person 2
place 3
plane 1
playing 1
police 1
pry 1
purposely 1
reappear 1
recapture 1
records 1
ride 2
save 1
says 2
second 1
secretive 1
see 3
show 2
simply 1
some 2
spying 1
stealing 1
steals 1
study 1
sure 2
suspect 2
suspected 1
suspicious 1
take 2
takes 1
talking 1
that 5
the 24
their 7
them 3
they 10
think 1
this 1
though 1
time 1
to 10
trick 1
tries 1
try 2
turns 1
up 2
vanishing 1
was 8
were 3
when 2
with 1
