1155183
/m/04bx18
/m/04bx18
Rudyard Kipling


11 1
12 1
a 7
about 1
adopt 1
against 1
akela 3
allies 1
and 13
approaching 1
are 1
arrival 1
as 2
at 3
attacks 1
away 1
baby 1
bagheera 3
baloo 2
be 2
bear 1
because 2
being 2
branch 1
bring 1
bull 1
burning 2
but 3
buys 1
by 2
catching 1
coals 1
continued 1
council 2
creature 1
cub 1
cubs 1
day 1
decides 1
demands 2
den 1
depose 1
despite 1
determination 1
does 1
drive 1
drives 1
educating 1
family 1
father 2
fear 1
fire 1
for 2
freshly 1
frog 1
from 2
furious 1
given 1
grows 1
hairless 1
hairlessness 1
he 6
hears 1
her 1
hide 1
him 4
his 6
human 2
humanity 2
hunting 1
in 6
indian 1
is 5
it 2
jungle 4
khan 8
kill 1
killed 2
lame 1
lay 1
leader 1
learn 1
leave 1
leaves 1
letting 1
life 1
mancub 3
meal 1
meanwhile 1
meeting 2
men 1
might 1
mother 2
mowgli 6
must 1
naked 2
names 1
nearby 1
night 1
not 2
now 1
of 9
off 1
on 1
one 1
only 2
or 1
order 1
out 1
pack 3
pair 1
panther 1
part 1
persuading 1
plan 1
plans 1
pot 1
prevent 1
prey 1
raising 1
raksha 2
realises 1
retribution 1
return 3
revenge 1
rock 2
shere 8
so 1
something 1
sorrow 1
speaks 1
steals 1
story 1
strengthened 1
take 1
task 1
tells 1
that 5
the 25
their 3
tiger 5
to 11
told 1
turns 1
undertake 1
unprotected 1
upon 2
use 1
village 1
vows 1
when 2
who 1
with 2
wolf 6
wolves 4
young 1
younger 1
