3890107
/m/0b5b8p
/m/0b5b8p
Jonathan Lethem
1997-02-17
a 14
about 1
absorbed 1
after 3
again 1
alice 8
all 1
also 4
aluminum 1
among 1
an 2
and 18
animal 1
answer 1
anthropic 1
any 1
apartment 1
appears 1
are 1
artificial 2
as 5
asks 1
asleep 1
at 1
attempt 1
b84 3
back 4
ball 1
be 2
bearings 1
because 1
become 1
becomes 3
beforethe 1
begins 1
being 2
better 1
blind 1
both 1
bowling 1
braxia 2
breaks 1
brought 1
build 1
buildings 1
but 5
by 2
campus 2
cannot 1
capable 2
carmo 1
cat 2
causes 2
chamber 2
claims 2
clay 1
climb 1
climbed 1
climbs 1
clings 1
comes 1
conscious 3
consumes 1
consumption 1
contain 1
coombs 1
cream 1
created 1
de 2
deals 1
defensive 1
definitive 1
despite 1
destroyed 1
developed 1
develops 1
device 1
divide 1
does 3
doesnt 1
dr 4
drinking 1
drunkenness 1
efforts 1
encountered 1
enter 2
entered 1
entering 1
enters 2
entrance 1
evan 1
even 2
ever 1
exist 1
expected 1
experiments 1
explaining 1
fails 1
feed 1
filled 1
first 2
foil 1
for 1
fountain 1
garth 1
get 1
gets 1
give 1
gives 1
giving 1
going 1
graduate 1
ground 1
grounds 1
had 2
has 1
have 6
he 13
headed 1
heads 1
helped 1
her 2
herself 2
him 1
himself 3
his 5
history 1
how 1
however 1
human 1
ice 1
if 1
impress 1
impressing 1
in 10
instead 3
intelligence 2
intelligent 1
interaction 1
interrupt 1
into 3
involved 1
is 8
isnt 1
issues 1
it 7
italian 2
its 2
jealous 1
knowledge 1
lab 1
laboratory 1
lack 22
lacks 1
larger 1
later 1
leather 1
life 3
light 1
liked 1
little 1
locks 1
longer 2
lost 1
loved 1
lover 1
made 3
many 1
may 1
men 1
merges 1
minimal 1
modern 1
monitor 1
morning 1
new 5
next 1
night 2
no 3
not 3
novel 1
observe 1
obsessed 1
of 21
on 4
once 1
one 1
only 1
or 1
our 1
out 2
own 1
part 1
people 2
person 1
personal 1
personality 2
pertaining 1
philip 10
philosophical 1
physicist 1
physicists 1
physics 2
pictures 1
pistachio 1
portion 1
preferences 1
principle 1
problems 1
progress 1
proof 1
protest 2
quantum 1
reality 2
realizing 1
refused 1
refuses 1
relationship 3
research 1
restoring 1
retrieving 1
running 1
says 1
see 1
seem 1
sets 1
she 5
shoe 1
since 1
single 1
slides 1
so 1
soft 3
speech 1
spent 1
state 1
still 1
strong 1
students 1
studying 2
suspects 1
team 1
tells 1
that 10
the 21
their 2
thematically 1
theory 1
there 2
they 1
things 1
this 4
those 1
time 5
to 23
tooth 2
tried 1
tries 2
try 1
two 1
undergraduates 1
universe 6
until 1
up 3
very 1
wakes 1
want 1
was 6
well 1
were 1
what 2
whether 1
which 1
while 1
who 1
wide 1
with 7
wool 1
world 1
would 1
